length,$p_{stable}$,Energy,Consensus
1,$1$,-0.6484375,0.2578125
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
152,$0.3$,-0.8125,0.07421875
18,$0.5$,-0.78125,0.20442708333333331
6,$0.7$,-0.7578125,0.01953125
2,$0.9$,-0.7265625,0.0703125
1,$1$,-0.6796875,0.0390625
1,$0.0$,-1.0,1.0
24,$0.1$,-0.8671875,0.1953125
60,$0.3$,-0.84375,0.61328125
12,$0.5$,-0.7890625,0.41015625
6,$0.7$,-0.703125,0.1796875
2,$0.9$,-0.6640625,0.02734375
1,$1$,-0.5625,0.0234375
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
1,$0.3$,-0.9140625,0.890625
2,$0.5$,-0.8046875,0.55859375
24,$0.7$,-0.7109375,0.1962890625
4,$0.9$,-0.609375,0.1953125
1,$1$,-0.6171875,0.2109375
9,$0.0$,-0.8671875,0.2222222222222222
1,$0.1$,-0.875,0.125
1,$0.3$,-1.0,1.0
28,$0.5$,-0.828125,0.6573660714285714
12,$0.7$,-0.75,0.419921875
2,$0.9$,-0.734375,0.2578125
1,$1$,-0.65625,0.3046875
72,$0.0$,-0.859375,0.4739583333333333
1,$0.1$,-1.0,1.0
10,$0.3$,-0.859375,0.71484375
42,$0.5$,-0.703125,0.11179315476190477
2,$0.7$,-0.6640625,0.0625
1,$0.9$,-0.59375,0.015625
1,$1$,-0.5859375,0.015625
10,$0.0$,-0.8671875,0.4
1,$0.1$,-0.9140625,0.765625
60,$0.3$,-0.8125,0.328125
4,$0.5$,-0.7578125,0.140625
2,$0.7$,-0.6484375,0.33203125
6,$0.9$,-0.5859375,0.12109375
1,$1$,-0.6171875,0.1953125
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
1200,$0.3$,-0.78125,0.039361979166666665
12,$0.5$,-0.765625,0.28125
210,$0.7$,-0.7109375,0.09877232142857142
2,$0.9$,-0.6796875,0.01953125
1,$1$,-0.609375,0.03125
8,$0.0$,-0.8671875,0.078125
2,$0.1$,-0.953125,0.9375
462,$0.3$,-0.8203125,0.12711377164502166
12,$0.5$,-0.7890625,0.2265625
2,$0.7$,-0.7265625,0.1171875
6,$0.9$,-0.5234375,0.171875
1,$1$,-0.5234375,0.03125
10,$0.0$,-0.8671875,0.4
