length,$p_{stable}$,SpinGlass,Magnetization
15,$0.0$,-0.935546875,0.04583333333333333
12002,$0.1$,-0.90625,0.21875
12002,$0.3$,-0.828125,0.34765625
1170,$0.5$,-0.771484375,0.018154046474358976
60,$0.7$,-0.67578125,0.0478515625
4,$0.9$,-0.646484375,0.0107421875
1,$1$,-0.623046875,0.021484375
1,$0.0$,-1.0,1.0
12002,$0.1$,-0.880859375,0.18359375
12002,$0.3$,-0.8203125,0.03125
180,$0.5$,-0.748046875,0.1228515625
30,$0.7$,-0.68359375,0.169921875
2,$0.9$,-0.630859375,0.0068359375
1,$1$,-0.578125,0.029296875
16,$0.0$,-0.935546875,0.4140625
12002,$0.1$,-0.904296875,0.19921875
3420,$0.3$,-0.83203125,0.2493089820906433
12002,$0.5$,-0.7578125,0.078125
30,$0.7$,-0.6953125,0.01888020833333333
6,$0.9$,-0.626953125,0.01953125
1,$1$,-0.619140625,0.013671875
304,$0.0$,-0.93359375,0.26932565789473684
12002,$0.1$,-0.87890625,0.046875
5460,$0.3$,-0.849609375,0.3067497281364469
84,$0.5$,-0.767578125,0.2155877976190476
12,$0.7$,-0.7421875,0.1455078125
2,$0.9$,-0.677734375,0.177734375
1,$1$,-0.634765625,0.158203125
1,$0.0$,-1.0,1.0
12002,$0.1$,-0.919921875,0.51953125
12002,$0.3$,-0.8203125,0.140625
60,$0.5$,-0.70703125,0.06412760416666667
36,$0.7$,-0.671875,0.01171875
6,$0.9$,-0.642578125,0.0205078125
1,$1$,-0.626953125,0.03515625
1,$0.0$,-1.0,1.0
30,$0.1$,-0.97265625,0.9150390625
12002,$0.3$,-0.814453125,0.296875
60,$0.5$,-0.75,0.14290364583333334
12,$0.7$,-0.69921875,0.03125
6,$0.9$,-0.62890625,0.0400390625
1,$1$,-0.587890625,0.068359375
16,$0.0$,-0.935546875,0.00390625
45,$0.1$,-0.935546875,0.474609375
12002,$0.3$,-0.810546875,0.20703125
132,$0.5$,-0.759765625,0.4205433238636364
12,$0.7$,-0.7421875,0.3525390625
2,$0.9$,-0.638671875,0.3037109375
1,$1$,-0.619140625,0.193359375
16,$0.0$,-0.93359375,0.078125
12002,$0.1$,-0.900390625,0.0703125
12002,$0.3$,-0.861328125,0.048828125
60,$0.5$,-0.75,0.11848958333333333
12,$0.7$,-0.671875,0.0830078125
2,$0.9$,-0.611328125,0.005859375
1,$1$,-0.56640625,0.021484375
1,$0.0$,-0.9375,0.125
12002,$0.1$,-0.89453125,0.103515625
7140,$0.3$,-0.833984375,0.4271943933823529
180,$0.5$,-0.763671875,0.2846137152777778
420,$0.7$,-0.712890625,0.1756649925595238
2,$0.9$,-0.62890625,0.2421875
1,$1$,-0.63671875,0.2578125
272,$0.0$,-0.93359375,0.07605698529411764
12002,$0.1$,-0.953125,0.798828125
660,$0.3$,-0.818359375,0.3590050899621212
60,$0.5$,-0.7421875,0.2347981770833333
84,$0.7$,-0.681640625,0.13113839285714285
6,$0.9$,-0.658203125,0.125
1,$1$,-0.634765625,0.099609375
1,$0.0$,-0.9375,0.3125
12002,$0.1$,-0.8984375,0.1640625
12002,$0.3$,-0.810546875,0.126953125
12002,$0.5$,-0.767578125,0.029296875
12,$0.7$,-0.67578125,0.005208333333333333
12,$0.9$,-0.61328125,0.03515625
1,$1$,-0.583984375,0.0859375
1,$0.0$,-1.0,1.0
12002,$0.1$,-0.875,0.287109375
12002,$0.3$,-0.814453125,0.205078125
780,$0.5$,-0.76953125,0.12141927083333333
12,$0.7$,-0.66796875,0.0185546875
6,$0.9$,-0.619140625,0.123046875
1,$1$,-0.58203125,0.103515625
1,$0.0$,-1.0,1.0
12002,$0.1$,-0.90234375,0.005859375
12002,$0.3$,-0.84765625,0.001953125
84,$0.5$,-0.791015625,0.0087890625
12,$0.7$,-0.732421875,0.099609375
6,$0.9$,-0.658203125,0.0771484375
1,$1$,-0.609375,0.041015625
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
12002,$0.3$,-0.833984375,0.060546875
3276,$0.5$,-0.75,0.16339714972527472
6,$0.7$,-0.68359375,0.0634765625
6,$0.9$,-0.6484375,0.004557291666666667
1,$1$,-0.603515625,0.033203125
1,$0.0$,-1.0,1.0
