init_magnet,Energy,Density,order,init_stab,length,init_freeze,sample
-0.4,-0.603515625,0.814453125,off_first,0.6,0,0.12,2114889880
-0.4,-0.6328125,0.58837890625,random,0.6,12,0.12,2114889880
-0.4,-0.55859375,0.7548828125,off_first,0.8,0,0.12,2114889880
-0.4,-0.5625,0.6173502604166666,random,0.8,6,0.12,2114889880
-0.4,-0.546875,0.771484375,off_first,1.0,0,0.12,2114889880
-0.4,-0.544921875,0.6552734375,random,1.0,1,0.12,2114889880
-0.2,-0.884765625,0.1875,off_first,0.0,0,0.12,2114889880
-0.2,-1.0,0.0,random,0.0,1,0.12,2114889880
-0.2,-0.69140625,0.6357421875,off_first,0.2,0,0.12,2114889880
-0.2,-0.96875,0.050048828125,random,0.2,12,0.12,2114889880
-0.2,-0.66015625,0.6748046875,off_first,0.4,0,0.12,2114889880
-0.2,-0.826171875,0.20503627232142854,random,0.4,420,0.12,2114889880
-0.2,-0.619140625,0.70703125,off_first,0.5,0,0.12,2114889880
-0.2,-0.732421875,0.3200102306547619,random,0.5,252,0.12,2114889880
-0.2,-0.59375,0.7216796875,off_first,0.6,0,0.12,2114889880
-0.2,-0.630859375,0.5314127604166666,random,0.6,12,0.12,2114889880
-0.2,-0.576171875,0.6806640625,off_first,0.8,0,0.12,2114889880
-0.2,-0.630859375,0.40478515625,random,0.8,6,0.12,2114889880
-0.2,-0.556640625,0.642578125,off_first,1.0,0,0.12,2114889880
-0.2,-0.55859375,0.5078125,random,1.0,1,0.12,2114889880
0.0,-1.0,0.0,off_first,0.0,0,0.12,2114889880
0.0,-1.0,0.0,random,0.0,1,0.12,2114889880
0.0,-0.685546875,0.552734375,off_first,0.2,0,0.12,2114889880
0.0,-0.986328125,0.009765625,random,0.2,1,0.12,2114889880
0.0,-0.71484375,0.43359375,off_first,0.4,0,0.12,2114889880
0.0,-0.939453125,0.048828125,random,0.4,3,0.12,2114889880
0.0,-0.677734375,0.501953125,off_first,0.5,0,0.12,2114889880
0.0,-0.865234375,0.13525390625,random,0.5,60,0.12,2114889880
0.0,-0.619140625,0.5048828125,off_first,0.6,0,0.12,2114889880
0.0,-0.7890625,0.17661830357142858,random,0.6,84,0.12,2114889880
0.0,-0.599609375,0.5,off_first,0.8,0,0.12,2114889880
0.0,-0.697265625,0.28759765625,random,0.8,12,0.12,2114889880
0.0,-0.541015625,0.4638671875,off_first,1.0,0,0.12,2114889880
0.0,-0.64453125,0.296875,random,1.0,1,0.12,2114889880
0.2,-0.873046875,0.234375,off_first,0.0,0,0.12,2114889880
0.2,-1.0,0.0,random,0.0,1,0.12,2114889880
0.2,-0.791015625,0.4013671875,off_first,0.2,0,0.12,2114889880
0.2,-1.0,0.0,random,0.2,1,0.12,2114889880
0.2,-0.779296875,0.2958984375,off_first,0.4,0,0.12,2114889880
0.2,-0.9765625,0.0166015625,random,0.4,2,0.12,2114889880
0.2,-0.716796875,0.37109375,off_first,0.5,0,0.12,2114889880
0.2,-0.919921875,0.05859375,random,0.5,2,0.12,2114889880
0.2,-0.705078125,0.3203125,off_first,0.6,0,0.12,2114889880
0.2,-0.951171875,0.03515625,random,0.6,2,0.12,2114889880
0.2,-0.736328125,0.2578125,off_first,0.8,0,0.12,2114889880
0.2,-0.876953125,0.0810546875,random,0.8,2,0.12,2114889880
0.2,-0.658203125,0.259765625,off_first,1.0,0,0.12,2114889880
0.2,-0.81640625,0.115234375,random,1.0,1,0.12,2114889880
0.4,-0.912109375,0.1455078125,off_first,0.0,0,0.12,2114889880
0.4,-1.0,0.0,random,0.0,1,0.12,2114889880
0.4,-0.931640625,0.0947265625,off_first,0.2,0,0.12,2114889880
0.4,-1.0,0.0,random,0.2,1,0.12,2114889880
0.4,-0.8359375,0.2197265625,off_first,0.4,0,0.12,2114889880
0.4,-1.0,0.0,random,0.4,1,0.12,2114889880
0.4,-0.875,0.107421875,off_first,0.5,0,0.12,2114889880
0.4,-0.9921875,0.00390625,random,0.5,1,0.12,2114889880
0.4,-0.896484375,0.0654296875,off_first,0.6,0,0.12,2114889880
0.4,-0.9765625,0.01171875,random,0.6,1,0.12,2114889880
0.4,-0.87890625,0.0927734375,off_first,0.8,0,0.12,2114889880
0.4,-0.93359375,0.04345703125,random,0.8,2,0.12,2114889880
0.4,-0.802734375,0.1357421875,off_first,1.0,0,0.12,2114889880
0.4,-0.896484375,0.05859375,random,1.0,1,0.12,2114889880
-0.4,-1.0,0.0,off_first,0.0,0,0.17,2114889880
-0.4,-1.0,0.0,random,0.0,1,0.17,2114889880
-0.4,-0.76171875,0.3017578125,off_first,0.2,0,0.17,2114889880
-0.4,-1.0,0.0,random,0.2,1,0.17,2114889880
-0.4,-0.662109375,0.5439453125,off_first,0.4,0,0.17,2114889880
-0.4,-0.765625,0.2721981956845238,random,0.4,420,0.17,2114889880
-0.4,-0.53125,0.6240234375,off_first,0.5,0,0.17,2114889880
-0.4,-0.728515625,0.2591145833333333,random,0.5,60,0.17,2114889880
-0.4,-0.576171875,0.599609375,off_first,0.6,0,0.17,2114889880
-0.4,-0.640625,0.4292805989583333,random,0.6,12,0.17,2114889880
-0.4,-0.498046875,0.65625,off_first,0.8,0,0.17,2114889880
-0.4,-0.5390625,0.5105794270833334,random,0.8,12,0.17,2114889880
-0.4,-0.5,0.681640625,off_first,1.0,0,0.17,2114889880
-0.4,-0.5390625,0.56640625,random,1.0,1,0.17,2114889880
-0.2,-1.0,0.0,off_first,0.0,0,0.17,2114889880
-0.2,-1.0,0.0,random,0.0,1,0.17,2114889880
-0.2,-0.82421875,0.220703125,off_first,0.2,0,0.17,2114889880
-0.2,-0.96484375,0.029296875,random,0.2,1,0.17,2114889880
-0.2,-0.625,0.4970703125,off_first,0.4,0,0.17,2114889880
-0.2,-0.857421875,0.14525741185897434,random,0.4,390,0.17,2114889880
-0.2,-0.634765625,0.4560546875,off_first,0.5,0,0.17,2114889880
-0.2,-0.78125,0.210693359375,random,0.5,12,0.17,2114889880
-0.2,-0.5390625,0.607421875,off_first,0.6,0,0.17,2114889880
-0.2,-0.736328125,0.25146484375,random,0.6,12,0.17,2114889880
-0.2,-0.525390625,0.5732421875,off_first,0.8,0,0.17,2114889880
