length,$p_{stable}$,Energy,Consensus
18,$0.0$,-0.935546875,0.17708333333333334
12002,$0.1$,-0.91796875,0.083984375
12002,$0.3$,-0.806640625,0.005859375
60,$0.5$,-0.775390625,0.0060872395833333325
252,$0.7$,-0.703125,0.009130084325396826
6,$0.9$,-0.640625,0.0302734375
1,$1$,-0.609375,0.015625
1,$0.0$,-0.9375,0.125
12002,$0.1$,-0.912109375,0.0
12002,$0.3$,-0.8203125,0.271484375
420,$0.5$,-0.76171875,0.014429873511904763
12,$0.7$,-0.7578125,0.103515625
2,$0.9$,-0.6796875,0.0009765625
1,$1$,-0.669921875,0.05078125
1,$0.0$,-1.0,1.0
12,$0.1$,-0.947265625,0.7412109375
9660,$0.3$,-0.822265625,0.06670649747670808
60,$0.5$,-0.728515625,0.06559244791666667
84,$0.7$,-0.677734375,0.1370907738095238
6,$0.9$,-0.66015625,0.13053385416666666
1,$1$,-0.603515625,0.115234375
17,$0.0$,-0.93359375,0.005284926470588236
8680,$0.1$,-0.9296875,0.09326171875
8424,$0.3$,-0.833984375,0.07228486875296772
84,$0.5$,-0.740234375,0.10453869047619048
84,$0.7$,-0.67578125,0.09184337797619048
6,$0.9$,-0.640625,0.0615234375
1,$1$,-0.599609375,0.0078125
112,$0.0$,-0.93359375,0.4659598214285714
12002,$0.1$,-0.919921875,0.2421875
12002,$0.3$,-0.8203125,0.234375
120,$0.5$,-0.78125,0.09505208333333333
132,$0.7$,-0.697265625,0.17689098011363635
2,$0.9$,-0.650390625,0.19921875
1,$1$,-0.599609375,0.1328125
18,$0.0$,-0.935546875,0.04861111111111111
12002,$0.1$,-0.947265625,0.71484375
1260,$0.3$,-0.798828125,0.22335379464285715
84,$0.5$,-0.70703125,0.13720703125
12,$0.7$,-0.673828125,0.0673828125
6,$0.9$,-0.609375,0.0478515625
1,$1$,-0.568359375,0.01171875
1,$0.0$,-1.0,1.0
300,$0.1$,-0.955078125,0.80375
12002,$0.3$,-0.794921875,0.0234375
420,$0.5$,-0.75390625,0.015327380952380953
84,$0.7$,-0.662109375,0.031947544642857144
6,$0.9$,-0.623046875,0.0908203125
1,$1$,-0.595703125,0.041015625
16,$0.0$,-0.935546875,0.16796875
12002,$0.1$,-0.861328125,0.3671875
12002,$0.3$,-0.814453125,0.1328125
84,$0.5$,-0.748046875,0.028041294642857144
30,$0.7$,-0.671875,0.0244140625
6,$0.9$,-0.658203125,0.0400390625
1,$1$,-0.59765625,0.044921875
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
2310,$0.3$,-0.810546875,0.17767096185064934
84,$0.5$,-0.78515625,0.27892485119047616
60,$0.7$,-0.732421875,0.3435546875
2,$0.9$,-0.658203125,0.26171875
