init_magnet,Energy,Density,order,init_stab,length,sample
0.2,-0.8046875,0.2515044341216216,random,0.5,444,20426372257
0.2,-0.76171875,0.7158203125,off_first,0.6,0,20426372257
0.2,-0.7890625,0.2360188802083333,random,0.6,60,20426372257
0.2,-0.685546875,0.537109375,off_first,0.8,0,20426372257
0.2,-0.76171875,0.2568359375,random,0.8,6,20426372257
0.4,-1.0,1.0,off_first,0.0,0,20426372257
0.4,-1.0,0.0,random,0.0,1,20426372257
0.4,-0.9296875,0.9248046875,off_first,0.2,0,20426372257
0.4,-1.0,0.0,random,0.2,1,20426372257
0.4,-0.751953125,0.5576171875,off_first,0.4,0,20426372257
0.4,-0.978515625,0.013671875,random,0.4,1,20426372257
0.4,-0.794921875,0.3134765625,off_first,0.5,0,20426372257
0.4,-0.982421875,0.009765625,random,0.5,1,20426372257
0.4,-0.779296875,0.2421875,off_first,0.6,0,20426372257
0.4,-0.96484375,0.02392578125,random,0.6,6,20426372257
0.4,-0.775390625,0.2109375,off_first,0.8,0,20426372257
0.4,-0.908203125,0.0654296875,random,0.8,2,20426372257
0.5,-1.0,1.0,off_first,0.0,0,20426372257
0.5,-1.0,0.0,random,0.0,1,20426372257
0.5,-0.849609375,0.572265625,off_first,0.2,0,20426372257
0.5,-1.0,0.0,random,0.2,1,20426372257
0.5,-0.84375,0.2490234375,off_first,0.4,0,20426372257
0.5,-1.0,0.0,random,0.4,1,20426372257
0.5,-0.7890625,0.29296875,off_first,0.5,0,20426372257
0.5,-0.98046875,0.01171875,random,0.5,1,20426372257
0.5,-0.91015625,0.06640625,off_first,0.6,0,20426372257
0.5,-1.0,0.0,random,0.6,1,20426372257
0.5,-0.884765625,0.0986328125,off_first,0.8,0,20426372257
0.5,-0.98828125,0.0068359375,random,0.8,1,20426372257
0.6,-1.0,1.0,off_first,0.0,0,20426372257
0.6,-1.0,0.0,random,0.0,1,20426372257
0.6,-0.869140625,0.2421875,off_first,0.2,0,20426372257
0.6,-1.0,0.0,random,0.2,1,20426372257
0.6,-0.919921875,0.1025390625,off_first,0.4,0,20426372257
0.6,-1.0,0.0,random,0.4,1,20426372257
0.6,-0.962890625,0.0439453125,off_first,0.5,0,20426372257
0.6,-0.98046875,0.01513671875,random,0.5,4,20426372257
0.6,-0.87109375,0.1337890625,off_first,0.6,0,20426372257
0.6,-0.984375,0.013671875,random,0.6,1,20426372257
0.6,-0.927734375,0.05078125,off_first,0.8,0,20426372257
0.6,-0.962890625,0.0234375,random,0.8,1,20426372257
0.8,-0.9765625,0.005859375,off_first,0.0,0,20426372257
0.8,-1.0,0.0,random,0.0,1,20426372257
0.8,-0.9921875,0.001953125,off_first,0.2,0,20426372257
0.8,-1.0,0.0,random,0.2,1,20426372257
0.8,-1.0,0.0,off_first,0.4,0,20426372257
0.8,-1.0,0.0,random,0.4,1,20426372257
0.8,-1.0,0.0,off_first,0.5,0,20426372257
0.8,-1.0,0.0,random,0.5,1,20426372257
0.8,-0.984375,0.0146484375,off_first,0.6,0,20426372257
0.8,-1.0,0.0,random,0.6,1,20426372257
0.8,-0.98828125,0.0078125,off_first,0.8,0,20426372257
0.8,-1.0,0.0,random,0.8,1,20426372257
0.0,-1.0,1.0,off_first,0.0,0,2042637271
0.0,-1.0,0.0,random,0.0,1,2042637271
0.0,-1.0,1.0,off_first,0.2,0,2042637271
0.0,-0.892578125,0.2529296875,random,0.2,12002,2042637271
0.0,-0.96484375,0.98046875,off_first,0.4,0,2042637271
0.0,-0.791015625,0.5595389229910714,random,0.4,840,2042637271
0.0,-0.89453125,0.91015625,off_first,0.5,0,2042637271
0.0,-0.74609375,0.4811810910443723,random,0.5,4620,2042637271
0.0,-0.892578125,0.9111328125,off_first,0.6,0,2042637271
0.0,-0.701171875,0.4756091889880952,random,0.6,420,2042637271
0.0,-0.744140625,0.775390625,off_first,0.8,0,2042637271
0.0,-0.626953125,0.525390625,random,0.8,60,2042637271
0.2,-1.0,1.0,off_first,0.0,0,2042637271
0.2,-1.0,0.0,random,0.0,1,2042637271
0.2,-1.0,1.0,off_first,0.2,0,2042637271
0.2,-0.98046875,0.0205078125,random,0.2,12,2042637271
0.2,-0.87109375,0.8798828125,off_first,0.4,0,2042637271
0.2,-0.908203125,0.0830078125,random,0.4,12,2042637271
0.2,-0.79296875,0.7490234375,off_first,0.5,0,2042637271
0.2,-0.84765625,0.17724609375,random,0.5,60,2042637271
0.2,-0.740234375,0.716796875,off_first,0.6,0,2042637271
0.2,-0.78515625,0.22900390625,random,0.6,60,2042637271
0.2,-0.638671875,0.5576171875,off_first,0.8,0,2042637271
0.2,-0.763671875,0.20849609375,random,0.8,6,2042637271
0.4,-1.0,1.0,off_first,0.0,0,2042637271
0.4,-1.0,0.0,random,0.0,1,2042637271
0.4,-0.958984375,0.9248046875,off_first,0.2,0,2042637271
0.4,-1.0,0.0,random,0.2,1,2042637271
