length,p_a,Energy,Consensus
1.0,$1/n^2$,-288.0,1.0
56.0,$1/n^2$,-232.0,0.24404761904761907
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
4.0,$1/n^2$,-236.0,0.08333333333333334
1.0,$1/n^2$,-240.0,0.5
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
12.0,$1/n^2$,-232.0,0.3055555555555556
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
30.0,$1/n^2$,-232.0,0.41111111111111115
56.0,$1/n^2$,-228.0,0.4880952380952381
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
30.0,$1/n^2$,-232.0,0.3111111111111111
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
8.0,$1/n^2$,-236.0,0.5208333333333333
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
7.0,$1/n^2$,-236.0,0.4047619047619047
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
5.0,$1/n^2$,-236.0,0.03333333333333333
8.0,$1/n^2$,-232.0,0.0625
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
56.0,$1/n^2$,-232.0,0.13392857142857142
4.0,$1/n^2$,-236.0,0.375
8.0,$1/n^2$,-236.0,0.0625
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-240.0,0.0
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
5.0,$1/n^2$,-236.0,0.2
1.0,$1/n^2$,-288.0,1.0
5.0,$1/n^2$,-232.0,0.06666666666666667
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
7.0,$1/n^2$,-236.0,0.3095238095238096
1.0,$1/n^2$,-288.0,1.0
7.0,$1/n^2$,-236.0,0.02380952380952381
1.0,$1/n^2$,-288.0,1.0
1.0,$1/n^2$,-288.0,1.0
56.0,$1/n^2$,-228.0,0.10119047619047618
