length,$p_{stable}$,Energy,Consensus
12002,$1/\sqrt{n}$,-0.908203125,0.33984375
1,$1/n^{1/3}$,-1.0,1.0
1,$1/\log^2 n$,-1.0,1.0
12002,$1/\log n$,-0.890625,0.00390625
12002,$1/\sqrt{\log n}$,-0.828125,0.048828125
1260,$1/\log^{1/3}n$,-0.833984375,0.14962332589285715
288,$1/\sqrt{n}$,-0.953125,0.7875705295138888
12002,$1/n^{1/3}$,-0.900390625,0.5625
1,$1/\log^2 n$,-1.0,1.0
12002,$1/\log n$,-0.9140625,0.28515625
9660,$1/\sqrt{\log n}$,-0.796875,0.029512406185300207
660,$1/\log^{1/3}n$,-0.765625,0.06055279356060606
1,$1/\sqrt{n}$,-0.9375,0.375
12002,$1/n^{1/3}$,-0.900390625,0.173828125
272,$1/\log^2 n$,-0.93359375,0.08846507352941177
12002,$1/\log n$,-0.908203125,0.326171875
12002,$1/\sqrt{\log n}$,-0.828125,0.162109375
420,$1/\log^{1/3}n$,-0.791015625,0.07774832589285714
1,$1/\sqrt{n}$,-1.0,1.0
12002,$1/n^{1/3}$,-0.935546875,0.642578125
1,$1/\log^2 n$,-1.0,1.0
12002,$1/\log n$,-0.888671875,0.46875
3570,$1/\sqrt{\log n}$,-0.828125,0.33564918154761897
5460,$1/\log^{1/3}n$,-0.755859375,0.15649682348901098
1,$1/\sqrt{n}$,-0.9375,0.375
12002,$1/n^{1/3}$,-0.91015625,0.556640625
272,$1/\log^2 n$,-0.93359375,0.042279411764705885
12002,$1/\log n$,-0.90625,0.33203125
4680,$1/\sqrt{\log n}$,-0.8046875,0.03837974091880342
420,$1/\log^{1/3}n$,-0.8046875,0.11216517857142858
1,$1/\sqrt{n}$,-1.0,1.0
12002,$1/n^{1/3}$,-0.900390625,0.4609375
1,$1/\log^2 n$,-1.0,1.0
3654,$1/\log n$,-0.953125,0.7934033122947455
132,$1/\sqrt{\log n}$,-0.861328125,0.6396928267045454
48,$1/\log^{1/3}n$,-0.802734375,0.2312825520833333
1,$1/\sqrt{n}$,-0.9375,0.1875
420,$1/n^{1/3}$,-0.9609375,0.86015625
1,$1/\log^2 n$,-1.0,1.0
12002,$1/\log n$,-0.87890625,0.0625
12002,$1/\sqrt{\log n}$,-0.82421875,0.11328125
5460,$1/\log^{1/3}n$,-0.7734375,0.2442497281364469
12002,$1/\sqrt{n}$,-0.912109375,0.021484375
12002,$1/n^{1/3}$,-0.888671875,0.138671875
1,$1/\log^2 n$,-0.9375,0.375
12002,$1/\log n$,-0.884765625,0.1015625
12002,$1/\sqrt{\log n}$,-0.845703125,0.111328125
168,$1/\log^{1/3}n$,-0.783203125,0.030471075148809524
1,$1/\sqrt{n}$,-1.0,1.0
42,$1/n^{1/3}$,-0.9609375,0.8508649553571429
18,$1/\log^2 n$,-0.935546875,0.09375
1,$1/\log n$,-1.0,1.0
12002,$1/\sqrt{\log n}$,-0.822265625,0.021484375
420,$1/\log^{1/3}n$,-0.787109375,0.03731863839285714
1,$1/\sqrt{n}$,-1.0,1.0
12002,$1/n^{1/3}$,-0.89453125,0.1328125
1,$1/\log^2 n$,-1.0,1.0
12002,$1/\log n$,-0.884765625,0.189453125
5460,$1/\sqrt{\log n}$,-0.828125,0.009523094093406594
420,$1/\log^{1/3}n$,-0.76953125,0.11709449404761905
1,$1/\sqrt{n}$,-1.0,1.0
1,$1/n^{1/3}$,-1.0,1.0
1,$1/\log^2 n$,-1.0,1.0
12002,$1/\log n$,-0.89453125,0.08984375
12002,$1/\sqrt{\log n}$,-0.810546875,0.044921875
252,$1/\log^{1/3}n$,-0.75,0.034877232142857144
1,$1/\sqrt{n}$,-1.0,1.0
11130,$1/n^{1/3}$,-0.927734375,0.4270305129716981
1,$1/\log^2 n$,-1.0,1.0
12,$1/\log n$,-0.921875,0.66796875
12002,$1/\sqrt{\log n}$,-0.841796875,0.25
12002,$1/\log^{1/3}n$,-0.791015625,0.185546875
1,$1/\sqrt{n}$,-1.0,1.0
12002,$1/n^{1/3}$,-0.9375,0.619140625
1,$1/\log^2 n$,-1.0,1.0
8,$1/\log n$,-0.966796875,0.94140625
12002,$1/\sqrt{\log n}$,-0.8671875,0.552734375
12,$1/\log^{1/3}n$,-0.7578125,0.016276041666666668
1,$1/\sqrt{n}$,-1.0,1.0
1,$1/n^{1/3}$,-1.0,1.0
1,$1/\log^2 n$,-1.0,1.0
12002,$1/\log n$,-0.919921875,0.3515625
1860,$1/\sqrt{\log n}$,-0.845703125,0.24165196572580644
