length,$r_{stable}$,fct,Energy,Consensus
168,1.694736842105263,644,-0.681640625,0.1011904761904762
360,1.7234042553191489,648,-0.712890625,0.04798177083333333
24,1.7526881720430108,652,-0.708984375,0.005289713541666667
12,1.7826086956521738,656,-0.693359375,0.029134114583333325
84,1.8131868131868127,660,-0.685546875,0.003394717261904762
30,1.8444444444444448,664,-0.72265625,0.0484375
12,1.8764044943820224,668,-0.728515625,0.1357421875
6,1.9090909090909087,672,-0.734375,0.02180989583333333
12,1.942528735632184,676,-0.705078125,0.0908203125
420,1.976744186046512,680,-0.68359375,0.06775483630952381
12,2.011764705882353,684,-0.73046875,0.06640625
84,2.0476190476190474,688,-0.68359375,0.03180803571428571
420,2.0843373493975905,692,-0.6640625,0.0674014136904762
60,2.1219512195121952,696,-0.685546875,0.10546875
12,2.1604938271604937,700,-0.701171875,0.0322265625
84,2.2,704,-0.697265625,0.13839285714285715
60,2.240506329113924,708,-0.69921875,0.14518229166666666
6,2.2820512820512815,712,-0.685546875,0.05078125
12,2.3246753246753253,716,-0.69140625,0.0302734375
12,2.3684210526315788,720,-0.689453125,0.017252604166666668
1680,1.694736842105263,644,-0.703125,0.13361467633928573
180,1.7234042553191489,648,-0.693359375,0.17578125
12002,1.7526881720430108,652,-0.677734375,0.04296875
420,1.7826086956521738,656,-0.6875,0.10811941964285714
252,1.8131868131868127,660,-0.673828125,0.10477120535714286
12,1.8444444444444448,664,-0.705078125,0.1513671875
12,1.8764044943820224,668,-0.69921875,0.13671875
12,1.9090909090909087,672,-0.685546875,0.04296875
42,1.942528735632184,676,-0.716796875,0.3350074404761905
42,1.976744186046512,680,-0.703125,0.08049665178571429
6,2.011764705882353,684,-0.6640625,0.09440104166666667
6,2.0476190476190474,688,-0.673828125,0.05436197916666666
48,2.0843373493975905,692,-0.6953125,0.094482421875
6,2.1219512195121952,696,-0.6953125,0.109375
12,2.1604938271604937,700,-0.66796875,0.16796875
12,2.2,704,-0.677734375,0.07666015625
60,2.240506329113924,708,-0.63671875,0.04361979166666666
30,2.2820512820512815,712,-0.697265625,0.1552734375
