init_magnet,Energy,Density,order,init_stab,length,init_freeze,sample
-0.4,-0.71484375,0.3084309895833333,random,0.5,12,0.2,2096179952
-0.4,-0.55078125,0.5576171875,off_first,0.6,0,0.2,2096179952
-0.4,-0.654296875,0.3193359375,random,0.6,6,0.2,2096179952
-0.4,-0.4921875,0.6044921875,off_first,0.8,0,0.2,2096179952
-0.4,-0.556640625,0.43115234375,random,0.8,6,0.2,2096179952
-0.4,-0.400390625,0.6328125,off_first,1.0,0,0.2,2096179952
-0.4,-0.453125,0.5166015625,random,1.0,1,0.2,2096179952
-0.2,-1.0,0.0,off_first,0.0,0,0.2,2096179952
-0.2,-1.0,0.0,random,0.0,1,0.2,2096179952
-0.2,-0.927734375,0.068359375,off_first,0.2,0,0.2,2096179952
-0.2,-0.97265625,0.02294921875,random,0.2,2,0.2,2096179952
-0.2,-0.740234375,0.3212890625,off_first,0.4,0,0.2,2096179952
-0.2,-0.861328125,0.121062748015873,random,0.4,126,0.2,2096179952
-0.2,-0.654296875,0.3955078125,off_first,0.5,0,0.2,2096179952
-0.2,-0.857421875,0.12565104166666666,random,0.5,6,0.2,2096179952
-0.2,-0.615234375,0.4638671875,off_first,0.6,0,0.2,2096179952
-0.2,-0.826171875,0.16845703125,random,0.6,6,0.2,2096179952
-0.2,-0.552734375,0.478515625,off_first,0.8,0,0.2,2096179952
-0.2,-0.66796875,0.32861328125,random,0.8,12,0.2,2096179952
-0.2,-0.50390625,0.451171875,off_first,1.0,0,0.2,2096179952
-0.2,-0.666015625,0.26953125,random,1.0,1,0.2,2096179952
0.0,-0.984375,0.00390625,off_first,0.0,0,0.2,2096179952
0.0,-1.0,0.0,random,0.0,1,0.2,2096179952
0.0,-0.970703125,0.03125,off_first,0.2,0,0.2,2096179952
0.0,-1.0,0.0,random,0.2,1,0.2,2096179952
0.0,-0.814453125,0.1767578125,off_first,0.4,0,0.2,2096179952
0.0,-0.974609375,0.013671875,random,0.4,1,0.2,2096179952
0.0,-0.771484375,0.2158203125,off_first,0.5,0,0.2,2096179952
0.0,-0.953125,0.033203125,random,0.5,3,0.2,2096179952
0.0,-0.732421875,0.267578125,off_first,0.6,0,0.2,2096179952
0.0,-0.90234375,0.06624348958333333,random,0.6,6,0.2,2096179952
0.0,-0.658203125,0.322265625,off_first,0.8,0,0.2,2096179952
0.0,-0.8359375,0.11669921875,random,0.8,2,0.2,2096179952
0.0,-0.623046875,0.3017578125,off_first,1.0,0,0.2,2096179952
0.0,-0.7265625,0.1962890625,random,1.0,1,0.2,2096179952
0.2,-1.0,0.0,off_first,0.0,0,0.2,2096179952
0.2,-1.0,0.0,random,0.0,1,0.2,2096179952
0.2,-0.98046875,0.0205078125,off_first,0.2,0,0.2,2096179952
0.2,-1.0,0.0,random,0.2,1,0.2,2096179952
0.2,-0.892578125,0.1025390625,off_first,0.4,0,0.2,2096179952
0.2,-0.96875,0.0224609375,random,0.4,3,0.2,2096179952
0.2,-0.89453125,0.0947265625,off_first,0.5,0,0.2,2096179952
0.2,-0.97265625,0.01611328125,random,0.5,2,0.2,2096179952
0.2,-0.837890625,0.1357421875,off_first,0.6,0,0.2,2096179952
0.2,-0.953125,0.02783203125,random,0.6,2,0.2,2096179952
0.2,-0.865234375,0.1015625,off_first,0.8,0,0.2,2096179952
0.2,-0.947265625,0.03125,random,0.8,1,0.2,2096179952
0.2,-0.76171875,0.1650390625,off_first,1.0,0,0.2,2096179952
0.2,-0.837890625,0.0966796875,random,1.0,1,0.2,2096179952
0.4,-0.9765625,0.005859375,off_first,0.0,0,0.2,2096179952
