init_magnet,Energy,Density,order,init_stab,length,sample
-0.1,-0.65234375,0.583984375,random,1.0,1,20768847209
0.0,-0.66015625,0.701171875,off_first,1.0,0,20768847209
0.0,-0.60546875,0.484375,random,1.0,1,20768847209
0.2,-0.625,0.4892578125,off_first,1.0,0,20768847209
0.2,-0.693359375,0.2548828125,random,1.0,1,20768847209
0.4,-0.720703125,0.240234375,off_first,1.0,0,20768847209
0.4,-0.828125,0.1376953125,random,1.0,1,20768847209
0.5,-0.845703125,0.119140625,off_first,1.0,0,20768847209
0.5,-0.943359375,0.0341796875,random,1.0,1,20768847209
0.6,-0.93359375,0.0361328125,off_first,1.0,0,20768847209
0.6,-0.982421875,0.009765625,random,1.0,1,20768847209
0.8,-1.0,0.0,off_first,1.0,0,20768847209
0.8,-1.0,0.0,random,1.0,1,20768847209
-0.4,-0.95703125,0.9775390625,off_first,1.0,0,2076884727
-0.4,-0.908203125,0.947265625,random,1.0,1,2076884727
-0.3,-0.876953125,0.9287109375,off_first,1.0,0,2076884727
-0.3,-0.783203125,0.830078125,random,1.0,1,2076884727
-0.2,-0.841796875,0.8916015625,off_first,1.0,0,2076884727
-0.2,-0.66015625,0.7119140625,random,1.0,1,2076884727
-0.1,-0.767578125,0.8056640625,off_first,1.0,0,2076884727
-0.1,-0.650390625,0.6376953125,random,1.0,1,2076884727
0.0,-0.669921875,0.68359375,off_first,1.0,0,2076884727
0.0,-0.609375,0.48046875,random,1.0,1,2076884727
0.2,-0.611328125,0.4677734375,off_first,1.0,0,2076884727
0.2,-0.701171875,0.2734375,random,1.0,1,2076884727
0.4,-0.76953125,0.18359375,off_first,1.0,0,2076884727
0.4,-0.869140625,0.099609375,random,1.0,1,2076884727
0.5,-0.8046875,0.1318359375,off_first,1.0,0,2076884727
0.5,-0.916015625,0.0478515625,random,1.0,1,2076884727
0.6,-0.904296875,0.052734375,off_first,1.0,0,2076884727
0.6,-0.9609375,0.01953125,random,1.0,1,2076884727
0.8,-0.9921875,0.00390625,off_first,1.0,0,2076884727
0.8,-1.0,0.0,random,1.0,1,2076884727
-0.4,-0.947265625,0.970703125,off_first,1.0,0,2076884777
-0.4,-0.861328125,0.90234375,random,1.0,1,2076884777
-0.3,-0.89453125,0.939453125,off_first,1.0,0,2076884777
-0.3,-0.75,0.8212890625,random,1.0,1,2076884777
-0.2,-0.8359375,0.896484375,off_first,1.0,0,2076884777
-0.2,-0.70703125,0.78125,random,1.0,1,2076884777
-0.1,-0.7109375,0.8046875,off_first,1.0,0,2076884777
-0.1,-0.646484375,0.6279296875,random,1.0,1,2076884777
0.0,-0.662109375,0.72265625,off_first,1.0,0,2076884777
0.0,-0.625,0.470703125,random,1.0,1,2076884777
0.2,-0.58203125,0.4833984375,off_first,1.0,0,2076884777
0.2,-0.69921875,0.26953125,random,1.0,1,2076884777
0.4,-0.70703125,0.240234375,off_first,1.0,0,2076884777
0.4,-0.876953125,0.0849609375,random,1.0,1,2076884777
0.5,-0.8671875,0.091796875,off_first,1.0,0,2076884777
0.5,-0.93359375,0.0439453125,random,1.0,1,2076884777
0.6,-0.876953125,0.0712890625,off_first,1.0,0,2076884777
0.6,-0.951171875,0.025390625,random,1.0,1,2076884777
0.8,-0.982421875,0.009765625,off_first,1.0,0,2076884777
0.8,-0.9921875,0.00390625,random,1.0,1,2076884777
-0.4,-0.90625,0.9453125,off_first,1.0,0,20768847205
-0.4,-0.8125,0.869140625,random,1.0,1,20768847205
-0.3,-0.892578125,0.931640625,off_first,1.0,0,20768847205
-0.3,-0.796875,0.84765625,random,1.0,1,20768847205
-0.2,-0.833984375,0.88671875,off_first,1.0,0,20768847205
-0.2,-0.658203125,0.732421875,random,1.0,1,20768847205
-0.1,-0.736328125,0.8125,off_first,1.0,0,20768847205
-0.1,-0.654296875,0.615234375,random,1.0,1,20768847205
0.0,-0.693359375,0.708984375,off_first,1.0,0,20768847205
0.0,-0.5859375,0.5166015625,random,1.0,1,20768847205
0.2,-0.62890625,0.4453125,off_first,1.0,0,20768847205
0.2,-0.728515625,0.2578125,random,1.0,1,20768847205
0.4,-0.724609375,0.2216796875,off_first,1.0,0,20768847205
0.4,-0.873046875,0.0888671875,random,1.0,1,20768847205
0.5,-0.818359375,0.1376953125,off_first,1.0,0,20768847205
0.5,-0.8828125,0.0712890625,random,1.0,1,20768847205
0.6,-0.919921875,0.048828125,off_first,1.0,0,20768847205
0.6,-0.96875,0.015625,random,1.0,1,20768847205
0.8,-1.0,0.0,off_first,1.0,0,20768847205
0.8,-1.0,0.0,random,1.0,1,20768847205
-0.4,-0.9453125,0.96875,off_first,1.0,0,20768847269
-0.4,-0.888671875,0.9287109375,random,1.0,1,20768847269
-0.3,-0.869140625,0.916015625,off_first,1.0,0,20768847269
-0.3,-0.751953125,0.8193359375,random,1.0,1,20768847269
-0.2,-0.80859375,0.8681640625,off_first,1.0,0,20768847269
-0.2,-0.73046875,0.7509765625,random,1.0,1,20768847269
-0.1,-0.771484375,0.8515625,off_first,1.0,0,20768847269
-0.1,-0.619140625,0.58984375,random,1.0,1,20768847269
0.0,-0.66796875,0.744140625,off_first,1.0,0,20768847269
0.0,-0.595703125,0.4482421875,random,1.0,1,20768847269
0.2,-0.6015625,0.4560546875,off_first,1.0,0,20768847269
0.2,-0.71484375,0.2646484375,random,1.0,1,20768847269
0.4,-0.716796875,0.2041015625,off_first,1.0,0,20768847269
0.4,-0.892578125,0.0751953125,random,1.0,1,20768847269
0.5,-0.826171875,0.1171875,off_first,1.0,0,20768847269
0.5,-0.958984375,0.0244140625,random,1.0,1,20768847269
0.6,-0.896484375,0.076171875,off_first,1.0,0,20768847269
0.6,-0.94921875,0.03125,random,1.0,1,20768847269
0.8,-0.978515625,0.0126953125,off_first,1.0,0,20768847269
0.8,-0.98828125,0.0068359375,random,1.0,1,20768847269
-0.4,-0.951171875,0.96875,off_first,1.0,0,20768847121
-0.4,-0.8671875,0.9033203125,random,1.0,1,20768847121
-0.3,-0.865234375,0.916015625,off_first,1.0,0,20768847121
-0.3,-0.748046875,0.8134765625,random,1.0,1,20768847121
-0.2,-0.859375,0.904296875,off_first,1.0,0,20768847121
-0.2,-0.7265625,0.7490234375,random,1.0,1,20768847121
-0.1,-0.693359375,0.775390625,off_first,1.0,0,20768847121
-0.1,-0.61328125,0.65234375,random,1.0,1,20768847121
0.0,-0.677734375,0.74609375,off_first,1.0,0,20768847121
0.0,-0.59375,0.5126953125,random,1.0,1,20768847121
0.2,-0.603515625,0.462890625,off_first,1.0,0,20768847121
0.2,-0.71484375,0.2275390625,random,1.0,1,20768847121
0.4,-0.708984375,0.212890625,off_first,1.0,0,20768847121
0.4,-0.890625,0.072265625,random,1.0,1,20768847121
0.5,-0.8125,0.123046875,off_first,1.0,0,20768847121
0.5,-0.900390625,0.0556640625,random,1.0,1,20768847121
0.6,-0.892578125,0.0703125,off_first,1.0,0,20768847121
0.6,-0.96484375,0.0224609375,random,1.0,1,20768847121
0.8,-1.0,0.0,off_first,1.0,0,20768847121
0.8,-1.0,0.0,random,1.0,1,20768847121
-0.4,-0.923828125,0.955078125,off_first,1.0,0,20768847198
-0.4,-0.84375,0.888671875,random,1.0,1,20768847198
-0.3,-0.919921875,0.953125,off_first,1.0,0,20768847198
-0.3,-0.73828125,0.791015625,random,1.0,1,20768847198
-0.2,-0.833984375,0.892578125,off_first,1.0,0,20768847198
-0.2,-0.70703125,0.728515625,random,1.0,1,20768847198
-0.1,-0.740234375,0.8037109375,off_first,1.0,0,20768847198
-0.1,-0.595703125,0.63671875,random,1.0,1,20768847198
0.0,-0.6171875,0.6591796875,off_first,1.0,0,20768847198
0.0,-0.63671875,0.474609375,random,1.0,1,20768847198
0.2,-0.634765625,0.484375,off_first,1.0,0,20768847198
0.2,-0.72265625,0.2548828125,random,1.0,1,20768847198
0.4,-0.7265625,0.2265625,off_first,1.0,0,20768847198
0.4,-0.859375,0.09375,random,1.0,1,20768847198
0.5,-0.814453125,0.130859375,off_first,1.0,0,20768847198
0.5,-0.9453125,0.03125,random,1.0,1,20768847198
0.6,-0.919921875,0.041015625,off_first,1.0,0,20768847198
0.6,-0.974609375,0.013671875,random,1.0,1,20768847198
0.8,-0.9921875,0.00390625,off_first,1.0,0,20768847198
0.8,-1.0,0.0,random,1.0,1,20768847198
-0.4,-0.92578125,0.9580078125,off_first,1.0,0,20768847231
-0.4,-0.826171875,0.8994140625,random,1.0,1,20768847231
-0.3,-0.888671875,0.931640625,off_first,1.0,0,20768847231
-0.3,-0.767578125,0.8408203125,random,1.0,1,20768847231
-0.2,-0.845703125,0.900390625,off_first,1.0,0,20768847231
-0.2,-0.673828125,0.71875,random,1.0,1,20768847231
-0.1,-0.74609375,0.8017578125,off_first,1.0,0,20768847231
-0.1,-0.640625,0.6376953125,random,1.0,1,20768847231
0.0,-0.685546875,0.7392578125,off_first,1.0,0,20768847231
0.0,-0.607421875,0.525390625,random,1.0,1,20768847231
0.2,-0.609375,0.423828125,off_first,1.0,0,20768847231
0.2,-0.728515625,0.244140625,random,1.0,1,20768847231
0.4,-0.73046875,0.2138671875,off_first,1.0,0,20768847231
0.4,-0.8671875,0.0908203125,random,1.0,1,20768847231
0.5,-0.814453125,0.126953125,off_first,1.0,0,20768847231
0.5,-0.951171875,0.02734375,random,1.0,1,20768847231
0.6,-0.86328125,0.0869140625,off_first,1.0,0,20768847231
0.6,-0.95703125,0.0234375,random,1.0,1,20768847231
0.8,-0.9921875,0.00390625,off_first,1.0,0,20768847231
0.8,-1.0,0.0,random,1.0,1,20768847231
-0.4,-0.9296875,0.9619140625,off_first,1.0,0,20768847124
-0.4,-0.837890625,0.892578125,random,1.0,1,20768847124
-0.3,-0.884765625,0.9287109375,off_first,1.0,0,20768847124
-0.3,-0.73046875,0.7958984375,random,1.0,1,20768847124
-0.2,-0.771484375,0.8466796875,off_first,1.0,0,20768847124
-0.2,-0.650390625,0.6533203125,random,1.0,1,20768847124
-0.1,-0.693359375,0.7890625,off_first,1.0,0,20768847124
-0.1,-0.62890625,0.6044921875,random,1.0,1,20768847124
0.0,-0.650390625,0.720703125,off_first,1.0,0,20768847124
0.0,-0.578125,0.5029296875,random,1.0,1,20768847124
0.2,-0.576171875,0.4423828125,off_first,1.0,0,20768847124
0.2,-0.7109375,0.2294921875,random,1.0,1,20768847124
0.4,-0.720703125,0.2333984375,off_first,1.0,0,20768847124
0.4,-0.810546875,0.1298828125,random,1.0,1,20768847124
0.5,-0.82421875,0.1220703125,off_first,1.0,0,20768847124
0.5,-0.9296875,0.052734375,random,1.0,1,20768847124
0.6,-0.921875,0.0478515625,off_first,1.0,0,20768847124
0.6,-0.9765625,0.013671875,random,1.0,1,20768847124
0.8,-0.9921875,0.00390625,off_first,1.0,0,20768847124
0.8,-1.0,0.0,random,1.0,1,20768847124
-0.4,-0.923828125,0.955078125,off_first,1.0,0,2076884766
-0.4,-0.83203125,0.8837890625,random,1.0,1,2076884766
-0.3,-0.91015625,0.9453125,off_first,1.0,0,2076884766
-0.3,-0.8203125,0.8701171875,random,1.0,1,2076884766
-0.2,-0.826171875,0.8857421875,off_first,1.0,0,2076884766
-0.2,-0.69921875,0.744140625,random,1.0,1,2076884766
-0.1,-0.716796875,0.7763671875,off_first,1.0,0,2076884766
-0.1,-0.62109375,0.640625,random,1.0,1,2076884766
0.0,-0.6328125,0.689453125,off_first,1.0,0,2076884766
0.0,-0.6328125,0.5302734375,random,1.0,1,2076884766
0.2,-0.6171875,0.4716796875,off_first,1.0,0,2076884766
0.2,-0.701171875,0.275390625,random,1.0,1,2076884766
0.4,-0.80078125,0.1611328125,off_first,1.0,0,2076884766
0.4,-0.8828125,0.09375,random,1.0,1,2076884766
0.5,-0.7890625,0.142578125,off_first,1.0,0,2076884766
0.5,-0.92578125,0.041015625,random,1.0,1,2076884766
0.6,-0.87109375,0.07421875,off_first,1.0,0,2076884766
