length,$r_{stable}$,fct,Energy,Consensus,sample
12002,0.08203125,84,-0.90234375,0.201171875,2118039797
12002,0.0859375,88,-0.919921875,0.478515625,2118039797
12002,0.08984375,92,-0.90234375,0.2890625,2118039797
3540,0.09375,96,-0.90234375,0.6028761696680791,2118039797
12002,0.09765625,100,-0.875,0.16796875,2118039797
12002,0.1015625,104,-0.94140625,0.623046875,2118039797
12002,0.10546875,108,-0.888671875,0.125,2118039797
12002,0.109375,112,-0.921875,0.595703125,2118039797
12002,0.11328125,116,-0.884765625,0.09375,2118039797
12002,0.1171875,120,-0.8984375,0.53125,2118039797
12002,0.12109375,124,-0.876953125,0.271484375,2118039797
12002,0.125,128,-0.916015625,0.474609375,2118039797
12002,0.12890625,132,-0.91015625,0.529296875,2118039797
12002,0.1328125,136,-0.869140625,0.0625,2118039797
12002,0.13671875,140,-0.890625,0.37109375,2118039797
12002,0.140625,144,-0.85546875,0.162109375,2118039797
12002,0.14453125,148,-0.873046875,0.28125,2118039797
12002,0.1484375,152,-0.89453125,0.064453125,2118039797
612,0.15234375,156,-0.890625,0.1279296875,2118039797
190,0.15625,160,-0.923828125,0.10233347039473684,2118039797
12002,0.08203125,84,-0.9140625,0.294921875,2118039715
12002,0.0859375,88,-0.91015625,0.037109375,2118039715
120,0.08984375,92,-0.931640625,0.2910970052083333,2118039715
12002,0.09375,96,-0.904296875,0.4140625,2118039715
12002,0.09765625,100,-0.923828125,0.12109375,2118039715
12002,0.1015625,104,-0.904296875,0.1875,2118039715
12002,0.10546875,108,-0.92578125,0.365234375,2118039715
988,0.109375,112,-0.939453125,0.6191149259868421,2118039715
12002,0.11328125,116,-0.921875,0.712890625,2118039715
12002,0.1171875,120,-0.8984375,0.31640625,2118039715
12002,0.12109375,124,-0.88671875,0.19140625,2118039715
12002,0.125,128,-0.904296875,0.02734375,2118039715
12002,0.12890625,132,-0.9140625,0.35546875,2118039715
12002,0.1328125,136,-0.869140625,0.076171875,2118039715
12002,0.13671875,140,-0.896484375,0.06640625,2118039715
12002,0.140625,144,-0.888671875,0.166015625,2118039715
12002,0.14453125,148,-0.8828125,0.0859375,2118039715
12002,0.1484375,152,-0.896484375,0.037109375,2118039715
12002,0.15234375,156,-0.890625,0.30859375,2118039715
12002,0.15625,160,-0.900390625,0.1484375,2118039715
48,0.08203125,84,-0.935546875,0.083984375,2118039732
1,0.0859375,88,-1.0,1.0,2118039732
12002,0.08984375,92,-0.916015625,0.58203125,2118039732
104,0.09375,96,-0.943359375,0.6876502403846154,2118039732
12002,0.09765625,100,-0.9296875,0.732421875,2118039732
12002,0.1015625,104,-0.86328125,0.1484375,2118039732
12002,0.10546875,108,-0.91796875,0.359375,2118039732
15,0.109375,112,-0.962890625,0.9140625,2118039732
12002,0.11328125,116,-0.927734375,0.62890625,2118039732
18,0.1171875,120,-0.9296875,0.7514105902777778,2118039732
12002,0.12109375,124,-0.869140625,0.080078125,2118039732
12002,0.125,128,-0.90234375,0.2109375,2118039732
2310,0.12890625,132,-0.91015625,0.19611150568181815,2118039732
12002,0.1328125,136,-0.900390625,0.3203125,2118039732
12002,0.13671875,140,-0.8984375,0.376953125,2118039732
12002,0.140625,144,-0.87109375,0.263671875,2118039732
4104,0.14453125,148,-0.87890625,0.09418402777777778,2118039732
5670,0.1484375,152,-0.88671875,0.34234698798500884,2118039732
12002,0.15234375,156,-0.857421875,0.041015625,2118039732
12002,0.15625,160,-0.89453125,0.447265625,2118039732
12002,0.08203125,84,-0.9375,0.6875,211803972
12002,0.0859375,88,-0.9296875,0.541015625,211803972
12002,0.08984375,92,-0.916015625,0.515625,211803972
12002,0.09375,96,-0.890625,0.18359375,211803972
12002,0.09765625,100,-0.91015625,0.32421875,211803972
12002,0.1015625,104,-0.916015625,0.41796875,211803972
12002,0.10546875,108,-0.923828125,0.150390625,211803972
12002,0.109375,112,-0.9140625,0.322265625,211803972
12002,0.11328125,116,-0.92578125,0.626953125,211803972
12002,0.1171875,120,-0.875,0.01953125,211803972
12002,0.12109375,124,-0.900390625,0.306640625,211803972
12002,0.125,128,-0.904296875,0.45703125,211803972
12002,0.12890625,132,-0.921875,0.537109375,211803972
12002,0.1328125,136,-0.884765625,0.458984375,211803972
12002,0.13671875,140,-0.896484375,0.384765625,211803972
12002,0.140625,144,-0.890625,0.6015625,211803972
12002,0.14453125,148,-0.875,0.0625,211803972
12002,0.1484375,152,-0.90625,0.43359375,211803972
12002,0.15234375,156,-0.88671875,0.1875,211803972
12002,0.15625,160,-0.888671875,0.322265625,211803972
12002,0.08203125,84,-0.896484375,0.396484375,2118039717
19,0.0859375,88,-0.9765625,0.9422286184210528,2118039717
1936,0.08984375,92,-0.94140625,0.6145715634684917,2118039717
12002,0.09375,96,-0.923828125,0.158203125,2118039717
12002,0.09765625,100,-0.8828125,0.056640625,2118039717
3672,0.1015625,104,-0.939453125,0.6507363579112201,2118039717
12002,0.10546875,108,-0.943359375,0.765625,2118039717
12002,0.109375,112,-0.916015625,0.123046875,2118039717
12002,0.11328125,116,-0.87890625,0.33984375,2118039717
12002,0.1171875,120,-0.9140625,0.462890625,2118039717
12002,0.12109375,124,-0.927734375,0.46484375,2118039717
12002,0.125,128,-0.873046875,0.232421875,2118039717
12002,0.12890625,132,-0.888671875,0.36328125,2118039717
12002,0.1328125,136,-0.896484375,0.240234375,2118039717
780,0.13671875,140,-0.900390625,0.5339593349358974,2118039717
12002,0.140625,144,-0.837890625,0.16796875,2118039717
12002,0.14453125,148,-0.92578125,0.521484375,2118039717
12002,0.1484375,152,-0.8828125,0.21484375,2118039717
12002,0.15234375,156,-0.84765625,0.2109375,2118039717
12002,0.15625,160,-0.873046875,0.001953125,2118039717
12002,0.08203125,84,-0.919921875,0.103515625,2118039744
10920,0.0859375,88,-0.92578125,0.4474705958104396,2118039744
12002,0.08984375,92,-0.90625,0.05859375,2118039744
1428,0.09375,96,-0.912109375,0.049550288865546216,2118039744
12002,0.09765625,100,-0.912109375,0.33203125,2118039744
12002,0.1015625,104,-0.91796875,0.013671875,2118039744
12002,0.10546875,108,-0.9140625,0.130859375,2118039744
2704,0.109375,112,-0.927734375,0.2286550307414941,2118039744
12002,0.11328125,116,-0.8828125,0.228515625,2118039744
15,0.1171875,120,-0.966796875,0.87109375,2118039744
12002,0.12109375,124,-0.90625,0.193359375,2118039744
12002,0.125,128,-0.8828125,0.259765625,2118039744
12002,0.12890625,132,-0.900390625,0.140625,2118039744
12002,0.1328125,136,-0.8671875,0.24609375,2118039744
12002,0.13671875,140,-0.873046875,0.1015625,2118039744
12002,0.140625,144,-0.87890625,0.0,2118039744
12002,0.14453125,148,-0.8984375,0.01171875,2118039744
12002,0.1484375,152,-0.900390625,0.32421875,2118039744
12002,0.15234375,156,-0.916015625,0.369140625,2118039744
60,0.15625,160,-0.921875,0.404296875,2118039744
12002,0.08203125,84,-0.873046875,0.015625,2118039710
12002,0.0859375,88,-0.90625,0.236328125,2118039710
4272,0.08984375,92,-0.921875,0.7149082140976124,2118039710
1,0.09375,96,-0.986328125,0.98046875,2118039710
1,0.09765625,100,-1.0,1.0,2118039710
1,0.1015625,104,-1.0,1.0,2118039710
80,0.10546875,108,-0.939453125,0.8253662109375,2118039710
12002,0.109375,112,-0.8984375,0.23828125,2118039710
12002,0.11328125,116,-0.890625,0.1484375,2118039710
380,0.1171875,120,-0.943359375,0.7701891447368421,2118039710
12002,0.12109375,124,-0.90234375,0.55859375,2118039710
3630,0.125,128,-0.955078125,0.8365228994490358,2118039710
12002,0.12890625,132,-0.890625,0.447265625,2118039710
12002,0.1328125,136,-0.908203125,0.609375,2118039710
11550,0.13671875,140,-0.916015625,0.24845576298701302,2118039710
12002,0.140625,144,-0.89453125,0.3671875,2118039710
12002,0.14453125,148,-0.84765625,0.46484375,2118039710
12002,0.1484375,152,-0.888671875,0.158203125,2118039710
12002,0.15234375,156,-0.919921875,0.69921875,2118039710
12002,0.15625,160,-0.869140625,0.302734375,2118039710
12002,0.08203125,84,-0.939453125,0.732421875,2118039753
480,0.0859375,88,-0.916015625,0.279541015625,2118039753
12002,0.08984375,92,-0.921875,0.1484375,2118039753
12002,0.09375,96,-0.90625,0.248046875,2118039753
12002,0.09765625,100,-0.90234375,0.33203125,2118039753
12002,0.1015625,104,-0.908203125,0.498046875,2118039753
12002,0.10546875,108,-0.90234375,0.146484375,2118039753
12002,0.109375,112,-0.9296875,0.509765625,2118039753
1980,0.11328125,116,-0.888671875,0.3389756944444444,2118039753
60,0.1171875,120,-0.92578125,0.65625,2118039753
12002,0.12109375,124,-0.908203125,0.365234375,2118039753
12002,0.125,128,-0.908203125,0.310546875,2118039753
12002,0.12890625,132,-0.900390625,0.318359375,2118039753
12002,0.1328125,136,-0.880859375,0.126953125,2118039753
12002,0.13671875,140,-0.892578125,0.09375,2118039753
12002,0.140625,144,-0.890625,0.349609375,2118039753
12002,0.14453125,148,-0.888671875,0.146484375,2118039753
12002,0.1484375,152,-0.88671875,0.310546875,2118039753
12002,0.15234375,156,-0.86328125,0.173828125,2118039753
12002,0.15625,160,-0.853515625,0.056640625,2118039753
1,0.08203125,84,-1.0,1.0,211803971
12002,0.0859375,88,-0.921875,0.56640625,211803971
110,0.08984375,92,-0.958984375,0.8164950284090909,211803971
1,0.09375,96,-1.0,1.0,211803971
1,0.09765625,100,-1.0,1.0,211803971
5460,0.1015625,104,-0.9140625,0.6672733516483517,211803971
1827,0.10546875,108,-0.95703125,0.8425644413656267,211803971
12002,0.109375,112,-0.9296875,0.583984375,211803971
10,0.11328125,116,-0.966796875,0.8798828125,211803971
12002,0.1171875,120,-0.90625,0.478515625,211803971
12002,0.12109375,124,-0.8828125,0.048828125,211803971
84,0.125,128,-0.94921875,0.880859375,211803971
12002,0.12890625,132,-0.87109375,0.203125,211803971
12002,0.1328125,136,-0.90625,0.55078125,211803971
12002,0.13671875,140,-0.88671875,0.359375,211803971
7488,0.140625,144,-0.94921875,0.7868683643830128,211803971
12002,0.14453125,148,-0.875,0.173828125,211803971
1008,0.1484375,152,-0.875,0.1261315724206349,211803971
12002,0.15234375,156,-0.880859375,0.548828125,211803971
12002,0.15625,160,-0.857421875,0.103515625,211803971
12002,0.08203125,84,-0.9140625,0.0546875,211803976
14,0.0859375,88,-0.966796875,0.8879743303571429,211803976
12002,0.08984375,92,-0.919921875,0.330078125,211803976
12002,0.09375,96,-0.890625,0.009765625,211803976
12002,0.09765625,100,-0.908203125,0.388671875,211803976
12002,0.1015625,104,-0.90234375,0.212890625,211803976
12002,0.10546875,108,-0.9296875,0.4921875,211803976
12002,0.109375,112,-0.91796875,0.517578125,211803976
12002,0.11328125,116,-0.916015625,0.55078125,211803976
