length,$p_{stable}$,Energy,Consensus
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
48,$0.3$,-0.7890625,0.044270833333333336
8,$0.5$,-0.8359375,0.4990234375
2,$0.7$,-0.703125,0.34765625
2,$0.9$,-0.640625,0.1484375
1,$1$,-0.6015625,0.203125
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
260,$0.3$,-0.84375,0.5790264423076923
2,$0.5$,-0.8359375,0.65625
14,$0.7$,-0.6875,0.5418526785714286
1,$0.9$,-0.6015625,0.1484375
1,$1$,-0.578125,0.0703125
1,$0.0$,-1.0,1.0
60,$0.1$,-0.8359375,0.07057291666666668
135,$0.3$,-0.8359375,0.3602430555555556
30,$0.5$,-0.796875,0.36328125
6,$0.7$,-0.7734375,0.03125
6,$0.9$,-0.7734375,0.20703125
1,$1$,-0.6953125,0.1953125
15,$0.0$,-0.828125,0.26666666666666666
1,$0.1$,-1.0,1.0
126,$0.3$,-0.8125,0.021143353174603176
24,$0.5$,-0.7890625,0.5029296875
10,$0.7$,-0.71875,0.36328125
6,$0.9$,-0.6953125,0.4375
1,$1$,-0.6328125,0.421875
15,$0.0$,-0.8125,0.08333333333333333
1,$0.1$,-1.0,1.0
30,$0.3$,-0.8359375,0.3484375
12,$0.5$,-0.84375,0.6015625
6,$0.7$,-0.7109375,0.28125
6,$0.9$,-0.6484375,0.18359375
1,$1$,-0.640625,0.140625
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
498,$0.3$,-0.828125,0.4947289156626506
42,$0.5$,-0.828125,0.20814732142857145
42,$0.7$,-0.765625,0.13653273809523808
2,$0.9$,-0.71875,0.23046875
1,$1$,-0.6484375,0.375
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
338,$0.3$,-0.8515625,0.5502265162721893
30,$0.5$,-0.7890625,0.32421875
6,$0.7$,-0.7265625,0.2421875
2,$0.9$,-0.703125,0.11328125
1,$1$,-0.6796875,0.0859375
1,$0.0$,-1.0,1.0
1,$0.1$,-0.875,0.125
84,$0.3$,-0.7578125,0.22265625
6,$0.5$,-0.78125,0.55078125
6,$0.7$,-0.6875,0.21875
2,$0.9$,-0.640625,0.34375
1,$1$,-0.6328125,0.234375
15,$0.0$,-0.8046875,0.03333333333333333
1,$0.1$,-1.0,1.0
1,$0.3$,-1.0,1.0
12,$0.5$,-0.84375,0.37890625
6,$0.7$,-0.75,0.052083333333333336
2,$0.9$,-0.6796875,0.2734375
1,$1$,-0.65625,0.265625
1,$0.0$,-1.0,1.0
28,$0.1$,-0.8828125,0.61328125
10,$0.3$,-0.84375,0.08359375
12,$0.5$,-0.765625,0.265625
6,$0.7$,-0.7109375,0.0625
2,$0.9$,-0.6484375,0.16796875
1,$1$,-0.6328125,0.1171875
1,$0.0$,-1.0,1.0
12,$0.1$,-0.8515625,0.09375
90,$0.3$,-0.8359375,0.09375
6,$0.5$,-0.7734375,0.47265625
6,$0.7$,-0.8046875,0.30859375
2,$0.9$,-0.640625,0.1875
1,$1$,-0.7265625,0.3125
1,$0.0$,-1.0,1.0
1,$0.1$,-0.875,0.125
264,$0.3$,-0.84375,0.1395596590909091
78,$0.5$,-0.859375,0.5335536858974359
12,$0.7$,-0.7578125,0.39453125
2,$0.9$,-0.7421875,0.32421875
1,$1$,-0.7265625,0.265625
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
8,$0.3$,-0.8203125,0.25
15,$0.5$,-0.8046875,0.3046875
2,$0.7$,-0.734375,0.4921875
6,$0.9$,-0.625,0.26171875
1,$1$,-0.609375,0.25
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
44,$0.3$,-0.8515625,0.5241477272727273
6,$0.5$,-0.78125,0.4140625
20,$0.7$,-0.6640625,0.18359375
2,$0.9$,-0.6484375,0.1015625
1,$1$,-0.6484375,0.1328125
15,$0.0$,-0.796875,0.1
1,$0.1$,-1.0,1.0
315,$0.3$,-0.8046875,0.03737599206349206
42,$0.5$,-0.75,0.21484375
12,$0.7$,-0.640625,0.07421875
1,$0.9$,-0.609375,0.03125
1,$1$,-0.59375,0.015625
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
120,$0.3$,-0.7890625,0.1875
12,$0.5$,-0.796875,0.12890625
6,$0.7$,-0.734375,0.30078125
2,$0.9$,-0.6171875,0.10546875
1,$1$,-0.5859375,0.0625
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
420,$0.3$,-0.8203125,0.4729352678571429
60,$0.5$,-0.734375,0.20703125
6,$0.7$,-0.703125,0.19140625
3,$0.9$,-0.6015625,0.015625
1,$1$,-0.578125,0.09375
1,$0.0$,-1.0,1.0
4,$0.1$,-0.9375,0.90234375
70,$0.3$,-0.8203125,0.40345982142857145
42,$0.5$,-0.7578125,0.02734375
28,$0.7$,-0.8203125,0.29799107142857145
2,$0.9$,-0.640625,0.07421875
1,$1$,-0.6484375,0.0625
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
39,$0.3$,-0.859375,0.5228365384615384
36,$0.5$,-0.7421875,0.013020833333333334
30,$0.7$,-0.6640625,0.23046875
2,$0.9$,-0.6171875,0.15234375
1,$1$,-0.6015625,0.09375
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
28,$0.3$,-0.859375,0.521484375
6,$0.5$,-0.8125,0.4322916666666667
3,$0.7$,-0.7578125,0.2265625
6,$0.9$,-0.671875,0.08984375
1,$1$,-0.6484375,0.0390625
1,$0.0$,-1.0,1.0
6,$0.1$,-0.90625,0.76171875
36,$0.3$,-0.78125,0.4869791666666667
168,$0.5$,-0.7734375,0.4627511160714286
6,$0.7$,-0.7109375,0.078125
1,$0.9$,-0.6484375,0.0078125
