length,$r_{stable}$,fct,Energy,Consensus
480,0.4628571428571429,324,-0.8203125,0.16433919270833333
5850,0.4712643678160919,328,-0.85546875,0.409671140491453
204,0.4797687861271676,332,-0.791015625,0.19688265931372548
12002,0.4883720930232558,336,-0.818359375,0.18359375
12002,0.4970760233918128,340,-0.845703125,0.08203125
12002,0.5058823529411764,344,-0.845703125,0.095703125
504,0.514792899408284,348,-0.828125,0.31007796999007936
12002,0.5238095238095238,352,-0.806640625,0.01953125
12002,0.5329341317365269,356,-0.822265625,0.375
8580,0.5421686746987951,360,-0.7890625,0.17885890151515152
12002,0.5515151515151515,364,-0.798828125,0.30078125
2520,0.5609756097560976,368,-0.818359375,0.33914620535714285
12002,0.5705521472392638,372,-0.8203125,0.080078125
12002,0.5802469135802469,376,-0.798828125,0.26171875
12002,0.5900621118012422,380,-0.78125,0.052734375
1020,0.6,384,-0.79296875,0.08057598039215688
12002,0.610062893081761,388,-0.79296875,0.15234375
360,0.620253164556962,392,-0.78125,0.017165798611111113
12002,0.6305732484076433,396,-0.765625,0.06640625
420,0.6410256410256411,400,-0.759765625,0.14646112351190474
5772,0.4628571428571429,324,-0.837890625,0.3364904116857242
2520,0.4712643678160919,328,-0.8125,0.046514601934523815
12002,0.4797687861271676,332,-0.78125,0.064453125
8580,0.4883720930232558,336,-0.802734375,0.013643648018648018
420,0.4970760233918128,340,-0.8125,0.26264880952380953
12002,0.5058823529411764,344,-0.802734375,0.146484375
12002,0.514792899408284,348,-0.806640625,0.28515625
12002,0.5238095238095238,352,-0.82421875,0.05078125
9660,0.5329341317365269,356,-0.845703125,0.1738596661490683
12002,0.5421686746987951,360,-0.8203125,0.087890625
12002,0.5515151515151515,364,-0.779296875,0.091796875
252,0.5609756097560976,368,-0.802734375,0.14792596726190474
840,0.5705521472392638,372,-0.81640625,0.037109375
3120,0.5802469135802469,376,-0.82421875,0.09485990084134616
12002,0.5900621118012422,380,-0.8515625,0.103515625
12002,0.6,384,-0.80859375,0.23828125
12002,0.610062893081761,388,-0.794921875,0.0078125
420,0.620253164556962,392,-0.7734375,0.007059151785714286
1020,0.6305732484076433,396,-0.76171875,0.056506587009803926
12002,0.6410256410256411,400,-0.8203125,0.029296875
12002,0.4628571428571429,324,-0.822265625,0.181640625
12002,0.4712643678160919,328,-0.84375,0.015625
4620,0.4797687861271676,332,-0.83984375,0.26801990327380953
12002,0.4883720930232558,336,-0.85546875,0.068359375
12002,0.4970760233918128,340,-0.818359375,0.1796875
24,0.5058823529411764,344,-0.826171875,0.016845703125
1320,0.514792899408284,348,-0.8125,0.34651988636363634
12002,0.5238095238095238,352,-0.80078125,0.03125
156,0.5329341317365269,356,-0.828125,0.1014122596153846
12002,0.5421686746987951,360,-0.796875,0.328125
4620,0.5515151515151515,364,-0.7890625,0.12048075622294373
5460,0.5609756097560976,368,-0.7890625,0.11217948717948717
12002,0.5705521472392638,372,-0.798828125,0.353515625
12002,0.5802469135802469,376,-0.78125,0.2734375
420,0.5900621118012422,380,-0.83984375,0.20849609375
840,0.6,384,-0.81640625,0.19112723214285715
300,0.610062893081761,388,-0.8046875,0.10940755208333333
5520,0.620253164556962,392,-0.80078125,0.3600593014039855
10620,0.6305732484076433,396,-0.802734375,0.04516463629943503
10920,0.6410256410256411,400,-0.76953125,0.2135989010989011
12002,0.4628571428571429,324,-0.78125,0.072265625
4620,0.4712643678160919,328,-0.80078125,0.21648826433982685
2520,0.4797687861271676,332,-0.794921875,0.13579179067460315
12002,0.4883720930232558,336,-0.802734375,0.025390625
12002,0.4970760233918128,340,-0.796875,0.0703125
12002,0.5058823529411764,344,-0.78515625,0.26171875
420,0.514792899408284,348,-0.830078125,0.3968889508928571
12002,0.5238095238095238,352,-0.828125,0.291015625
12002,0.5329341317365269,356,-0.783203125,0.1796875
420,0.5421686746987951,360,-0.814453125,0.010258556547619048
12002,0.5515151515151515,364,-0.783203125,0.11328125
5040,0.5609756097560976,368,-0.76953125,0.05643136160714285
12002,0.5705521472392638,372,-0.806640625,0.056640625
1680,0.5802469135802469,376,-0.8125,0.09282575334821427
12002,0.5900621118012422,380,-0.779296875,0.283203125
180,0.6,384,-0.794921875,0.17822265625
12002,0.610062893081761,388,-0.775390625,0.31640625
420,0.620253164556962,392,-0.814453125,0.2042178199404762
12002,0.6305732484076433,396,-0.80859375,0.1875
12002,0.6410256410256411,400,-0.775390625,0.158203125
12002,0.4628571428571429,324,-0.810546875,0.220703125
12002,0.4712643678160919,328,-0.8359375,0.11328125
7140,0.4797687861271676,332,-0.818359375,0.2570607930672269
12002,0.4883720930232558,336,-0.818359375,0.30078125
12002,0.4970760233918128,340,-0.83203125,0.072265625
4620,0.5058823529411764,344,-0.810546875,0.2666015625
4620,0.514792899408284,348,-0.845703125,0.36717481737012986
12002,0.5238095238095238,352,-0.806640625,0.138671875
3120,0.5329341317365269,356,-0.837890625,0.09820087139423077
12002,0.5421686746987951,360,-0.818359375,0.259765625
1716,0.5515151515151515,364,-0.818359375,0.17942685569638694
660,0.5609756097560976,368,-0.81640625,0.10606060606060606
900,0.5705521472392638,372,-0.81640625,0.12428385416666668
2100,0.5802469135802469,376,-0.80078125,0.01236700148809524
4620,0.5900621118012422,380,-0.830078125,0.2820997362012987
60,0.6,384,-0.810546875,0.044921875
1260,0.610062893081761,388,-0.759765625,0.012420944940476191
12002,0.620253164556962,392,-0.828125,0.04296875
420,0.6305732484076433,396,-0.779296875,0.12888299851190474
240,0.6410256410256411,400,-0.818359375,0.083203125
30,0.4628571428571429,324,-0.8671875,0.028450520833333333
12002,0.4712643678160919,328,-0.837890625,0.103515625
4620,0.4797687861271676,332,-0.875,0.3893821022727273
12002,0.4883720930232558,336,-0.783203125,0.037109375
2100,0.4970760233918128,340,-0.8203125,0.12328683035714284
12002,0.5058823529411764,344,-0.798828125,0.02734375
12002,0.514792899408284,348,-0.8203125,0.01953125
2100,0.5238095238095238,352,-0.806640625,0.16851190476190475
2340,0.5329341317365269,356,-0.814453125,0.26672676282051283
420,0.5421686746987951,360,-0.794921875,0.1314732142857143
660,0.5515151515151515,364,-0.814453125,0.013713304924242423
420,0.5609756097560976,368,-0.798828125,0.06975911458333334
12002,0.5705521472392638,372,-0.818359375,0.216796875
60,0.5802469135802469,376,-0.802734375,0.1123046875
12002,0.5900621118012422,380,-0.798828125,0.064453125
9240,0.6,384,-0.767578125,0.13439127604166667
924,0.610062893081761,388,-0.79296875,0.3361171705898268
10920,0.620253164556962,392,-0.7890625,0.1406974373282967
7956,0.6305732484076433,396,-0.810546875,0.15114035397812972
540,0.6410256410256411,400,-0.830078125,0.1261935763888889
12002,0.4628571428571429,324,-0.8359375,0.076171875
12002,0.4712643678160919,328,-0.802734375,0.18359375
12002,0.4797687861271676,332,-0.814453125,0.015625
12002,0.4883720930232558,336,-0.8125,0.263671875
120,0.4970760233918128,340,-0.830078125,0.11149088541666667
2520,0.5058823529411764,344,-0.8125,0.057386997767857134
12002,0.514792899408284,348,-0.794921875,0.09375
12002,0.5238095238095238,352,-0.818359375,0.146484375
12002,0.5329341317365269,356,-0.837890625,0.03515625
960,0.5421686746987951,360,-0.828125,0.054217529296875
