length,$p_{stable}$,Energy,Consensus
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
105,$1/\sqrt{n}$,-0.8515625,0.5036458333333333
1,$1/{n^{1/3}}$,-1.0,1.0
1,$1/\log^{2}(n)$,-1.0,1.0
1672,$1/\log(n)$,-0.8515625,0.579358552631579
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
1,$1/{n^{1/3}}$,-1.0,1.0
1,$1/\log^{2}(n)$,-1.0,1.0
768,$1/\log(n)$,-0.8671875,0.6182861328125
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
1,$1/{n^{1/3}}$,-1.0,1.0
1,$1/\log^{2}(n)$,-1.0,1.0
4,$1/\log(n)$,-0.8984375,0.69921875
15,$0$,-0.8046875,0.2333333333333333
15,$1/n^2$,-0.8046875,0.2333333333333333
15,$1/n^{3/2}$,-0.8046875,0.2333333333333333
15,$1/n$,-0.8046875,0.2333333333333333
15,$1/\sqrt{n}$,-0.8671875,0.35
15,$1/{n^{1/3}}$,-0.8671875,0.1
15,$1/\log^{2}(n)$,-0.8046875,0.2333333333333333
8,$1/\log(n)$,-0.8671875,0.203125
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
24,$1/{n^{1/3}}$,-0.8046875,0.25390625
15,$1/\log^{2}(n)$,-0.828125,0.31666666666666665
15,$1/\log(n)$,-0.8671875,0.6333333333333333
15,$0$,-0.765625,0.08333333333333333
15,$1/n^2$,-0.765625,0.08333333333333333
15,$1/n^{3/2}$,-0.765625,0.08333333333333333
15,$1/n$,-0.78125,0.10833333333333334
15,$1/\sqrt{n}$,-0.828125,0.5
510,$1/{n^{1/3}}$,-0.8359375,0.05537683823529412
15,$1/\log^{2}(n)$,-0.8125,0.075
402,$1/\log(n)$,-0.828125,0.20324160447761194
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
40,$1/{n^{1/3}}$,-0.8671875,0.19140625
1,$1/\log^{2}(n)$,-1.0,1.0
