length,init_magnet,Energy,Consensus
60,0.0,-0.7578125,0.12727864583333334
12,0.2,-0.814453125,0.4934895833333333
3,0.4,-0.91796875,0.875
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.94140625,0.9375
12,0.0,-0.765625,0.2060546875
12,0.2,-0.83203125,0.4544270833333333
12,0.4,-0.91796875,0.876953125
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9921875,0.9921875
60,0.0,-0.748046875,0.052083333333333336
12,0.2,-0.8203125,0.5989583333333334
1,0.4,-0.974609375,0.953125
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9921875,0.9921875
12,0.0,-0.71875,0.018229166666666668
12,0.2,-0.833984375,0.5843098958333334
1,0.4,-0.95703125,0.953125
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.978515625,0.97265625
12,0.0,-0.74609375,0.056966145833333336
12,0.2,-0.81640625,0.5651041666666666
12,0.4,-0.94140625,0.9189453125
1,0.6,-0.984375,0.984375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.984375,0.984375
12,0.0,-0.7109375,0.0556640625
12,0.2,-0.83984375,0.6015625
6,0.4,-0.943359375,0.8942057291666666
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
12,0.5,-0.970703125,0.94921875
12,0.0,-0.7421875,0.103515625
12,0.2,-0.830078125,0.6256510416666666
6,0.4,-0.91796875,0.8717447916666666
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
2,0.5,-0.96875,0.90625
12,0.0,-0.732421875,0.060872395833333336
12,0.2,-0.791015625,0.5315755208333334
1,0.4,-0.9609375,0.9609375
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.96875,0.96875
12,0.0,-0.775390625,0.203125
12,0.2,-0.810546875,0.6253255208333334
6,0.4,-0.923828125,0.904296875
1,0.6,-0.978515625,0.97265625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
6,0.5,-0.9765625,0.9674479166666666
12,0.0,-0.748046875,0.08430989583333333
12,0.2,-0.8125,0.62890625
6,0.4,-0.939453125,0.8955078125
12,0.6,-0.970703125,0.9557291666666666
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
2,0.5,-0.970703125,0.962890625
12,0.0,-0.765625,0.13671875
12,0.2,-0.822265625,0.56640625
3,0.4,-0.943359375,0.9296875
1,0.6,-0.978515625,0.97265625
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.953125,0.9375
12,0.0,-0.736328125,0.0693359375
12,0.2,-0.876953125,0.7760416666666666
6,0.4,-0.9609375,0.9410807291666666
1,0.6,-0.984375,0.984375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-1.0,1.0
12,0.0,-0.69140625,0.10319010416666667
12,0.2,-0.84375,0.642578125
3,0.4,-0.96484375,0.943359375
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9921875,0.9921875
12,0.0,-0.76953125,0.18131510416666666
60,0.2,-0.84765625,0.7216796875
12,0.4,-0.90625,0.8427734375
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.962890625,0.95703125
60,0.0,-0.732421875,0.0615234375
12,0.2,-0.80078125,0.5716145833333334
6,0.4,-0.9609375,0.9208984375
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9921875,0.9921875
60,0.0,-0.7265625,0.01888020833333333
12,0.2,-0.830078125,0.54296875
1,0.4,-0.970703125,0.96484375
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
12,0.5,-0.984375,0.9752604166666666
12,0.0,-0.791015625,0.20833333333333331
60,0.2,-0.857421875,0.7154947916666666
1,0.4,-0.9609375,0.9609375
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.984375,0.984375
12,0.0,-0.787109375,0.034505208333333336
12,0.2,-0.83203125,0.6725260416666666
12,0.4,-0.927734375,0.8684895833333334
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9921875,0.9921875
12,0.0,-0.744140625,0.19108072916666666
12,0.2,-0.833984375,0.5286458333333334
12,0.4,-0.904296875,0.8118489583333334
2,0.6,-0.970703125,0.962890625
1,0.8,-0.98828125,0.984375
1,1.0,-1.0,1.0
1,0.5,-0.970703125,0.96484375
60,0.0,-0.720703125,0.03515625
12,0.2,-0.87890625,0.7779947916666666
1,0.4,-0.908203125,0.88671875
1,0.6,-0.984375,0.984375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.984375,0.984375
12,0.0,-0.77734375,0.23307291666666666
12,0.2,-0.83984375,0.6920572916666666
4,0.4,-0.9609375,0.953125
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
4,0.5,-0.9765625,0.96875
60,0.0,-0.73046875,0.04947916666666666
12,0.2,-0.84765625,0.7408854166666666
1,0.4,-0.9765625,0.9765625
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9921875,0.9921875
12,0.0,-0.73828125,0.07649739583333333
12,0.2,-0.802734375,0.5904947916666666
12,0.4,-0.892578125,0.7972005208333334
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.9921875,0.9921875
12,0.0,-0.767578125,0.134765625
12,0.2,-0.8046875,0.5729166666666666
12,0.4,-0.892578125,0.8499348958333334
1,0.6,-0.984375,0.984375
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
2,0.5,-0.947265625,0.931640625
12,0.0,-0.75,0.162109375
60,0.2,-0.802734375,0.4690755208333333
12,0.4,-0.904296875,0.8033854166666666
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.984375,0.984375
12,0.0,-0.771484375,0.014322916666666666
60,0.2,-0.85546875,0.7255859375
1,0.4,-0.951171875,0.92578125
1,0.6,-1.0,1.0
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.94921875,0.9375
30,0.0,-0.7578125,0.029622395833333325
12,0.2,-0.888671875,0.8040364583333334
3,0.4,-0.919921875,0.875
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.98046875,0.9765625
12,0.0,-0.779296875,0.015299479166666666
6,0.2,-0.84375,0.6214192708333334
12,0.4,-0.927734375,0.880859375
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-1.0,1.0
12,0.0,-0.759765625,0.12923177083333334
30,0.2,-0.845703125,0.6871744791666666
1,0.4,-0.9765625,0.9765625
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
1,0.5,-0.984375,0.984375
12,0.0,-0.72265625,0.13639322916666666
12,0.2,-0.791015625,0.3948567708333333
6,0.4,-0.947265625,0.9306640625
1,0.6,-1.0,1.0
1,0.8,-0.9921875,0.9921875
1,1.0,-1.0,1.0
6,0.5,-0.9765625,0.9658203125
12,0.0,-0.734375,0.009114583333333334
12,0.2,-0.841796875,0.6416015625
12,0.4,-0.923828125,0.8564453125
1,0.6,-0.9921875,0.9921875
1,0.8,-1.0,1.0
1,1.0,-1.0,1.0
6,0.5,-0.9609375,0.9518229166666666
12,0.0,-0.783203125,0.1015625
6,0.2,-0.849609375,0.677734375
