length,$p_{stable}$,Energy,Consensus
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
6,$0.3$,-0.8125,0.18489583333333331
990,$0.5$,-0.8125,0.18836805555555555
6,$0.7$,-0.7109375,0.1796875
2,$0.9$,-0.578125,0.16015625
1,$1$,-0.546875,0.109375
1,$0.0$,-1.0,1.0
1,$0.1$,-0.875,0.375
70,$0.3$,-0.8671875,0.6808035714285714
630,$0.5$,-0.7578125,0.04188988095238095
12,$0.7$,-0.6953125,0.265625
6,$0.9$,-0.6484375,0.24609375
1,$1$,-0.6484375,0.171875
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
2394,$0.3$,-0.7890625,0.3722196115288221
156,$0.5$,-0.7265625,0.04887820512820513
4,$0.7$,-0.75,0.25
6,$0.9$,-0.7109375,0.1875
1,$1$,-0.6953125,0.0625
72,$0.0$,-0.8515625,0.15625
10,$0.1$,-0.8671875,0.0375
60,$0.3$,-0.8125,0.197265625
6,$0.5$,-0.734375,0.01171875
60,$0.7$,-0.6484375,0.1015625
2,$0.9$,-0.6328125,0.109375
1,$1$,-0.6171875,0.1171875
1,$0.0$,-1.0,1.0
12,$0.1$,-0.8671875,0.3046875
84,$0.3$,-0.8125,0.03180803571428571
12,$0.5$,-0.7734375,0.5078125
2,$0.7$,-0.703125,0.140625
2,$0.9$,-0.6015625,0.16796875
1,$1$,-0.6015625,0.15625
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
19,$0.3$,-0.8203125,0.5028782894736842
168,$0.5$,-0.6953125,0.29296875
6,$0.7$,-0.75,0.546875
2,$0.9$,-0.671875,0.234375
1,$1$,-0.65625,0.3046875
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
12,$0.3$,-0.875,0.59765625
30,$0.5$,-0.75,0.31640625
2,$0.7$,-0.78125,0.46484375
2,$0.9$,-0.6171875,0.1875
1,$1$,-0.59375,0.1796875
1,$0.0$,-1.0,1.0
4,$0.1$,-0.8671875,0.34375
1,$0.3$,-1.0,1.0
210,$0.5$,-0.7421875,0.3113839285714285
6,$0.7$,-0.625,0.13411458333333334
6,$0.9$,-0.6640625,0.28125
1,$1$,-0.6171875,0.09375
1,$0.0$,-1.0,1.0
3002,$0.1$,-0.828125,0.1796875
3002,$0.3$,-0.7734375,0.0625
102,$0.5$,-0.765625,0.22058823529411764
12,$0.7$,-0.703125,0.0234375
6,$0.9$,-0.6328125,0.1640625
1,$1$,-0.5625,0.140625
8,$0.0$,-0.8671875,0.03125
51,$0.1$,-0.828125,0.06801470588235294
105,$0.3$,-0.7734375,0.08110119047619048
112,$0.5$,-0.71875,0.09068080357142858
2,$0.7$,-0.6875,0.06640625
2,$0.9$,-0.59375,0.13671875
1,$1$,-0.546875,0.0859375
8,$0.0$,-0.8671875,0.234375
1,$0.1$,-0.875,0.375
36,$0.3$,-0.8671875,0.5390625
6,$0.5$,-0.7265625,0.022135416666666668
30,$0.7$,-0.765625,0.375
2,$0.9$,-0.609375,0.0859375
1,$1$,-0.609375,0.125
1,$0.0$,-1.0,1.0
9,$0.1$,-0.8671875,0.04166666666666666
1820,$0.3$,-0.8046875,0.1662560096153846
84,$0.5$,-0.75,0.22154017857142855
6,$0.7$,-0.703125,0.08203125
2,$0.9$,-0.6796875,0.140625
1,$1$,-0.6484375,0.109375
9,$0.0$,-0.8671875,0.027777777777777776
1,$0.1$,-0.875,0.25
48,$0.3$,-0.78125,0.30419921875
10,$0.5$,-0.8359375,0.64453125
20,$0.7$,-0.7265625,0.1015625
2,$0.9$,-0.5625,0.1328125
1,$1$,-0.5546875,0.1015625
8,$0.0$,-0.8671875,0.453125
3,$0.1$,-0.859375,0.052083333333333336
18,$0.3$,-0.875,0.71484375
1,$0.5$,-0.8671875,0.828125
6,$0.7$,-0.703125,0.48046875
1,$0.9$,-0.6953125,0.40625
1,$1$,-0.65625,0.40625
1,$0.0$,-1.0,1.0
180,$0.1$,-0.84375,0.13151041666666666
30,$0.3$,-0.828125,0.2109375
6,$0.5$,-0.7578125,0.171875
4,$0.7$,-0.7109375,0.171875
2,$0.9$,-0.6171875,0.30078125
1,$1$,-0.609375,0.3203125
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
1,$0.3$,-1.0,1.0
60,$0.5$,-0.6875,0.36770833333333336
6,$0.7$,-0.734375,0.58203125
1,$0.9$,-0.6796875,0.4921875
1,$1$,-0.6484375,0.3359375
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
4,$0.3$,-0.8828125,0.64453125
6,$0.5$,-0.8359375,0.39453125
12,$0.7$,-0.7109375,0.2265625
6,$0.9$,-0.671875,0.3359375
1,$1$,-0.5625,0.28125
1,$0.0$,-1.0,1.0
40,$0.1$,-0.8671875,0.5845703125
764,$0.3$,-0.7734375,0.028458360602094238
39,$0.5$,-0.8125,0.5288461538461539
4,$0.7$,-0.625,0.11328125
2,$0.9$,-0.6328125,0.1328125
1,$1$,-0.609375,0.21875
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
140,$0.3$,-0.828125,0.03800223214285714
12,$0.5$,-0.7265625,0.0703125
6,$0.7$,-0.703125,0.25390625
6,$0.9$,-0.6953125,0.06640625
1,$1$,-0.671875,0.046875
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
3002,$0.3$,-0.8046875,0.453125
36,$0.5$,-0.7265625,0.44921875
6,$0.7$,-0.671875,0.2109375
6,$0.9$,-0.6328125,0.21484375
1,$1$,-0.625,0.265625
1,$0.0$,-1.0,1.0
1,$0.1$,-1.0,1.0
84,$0.3$,-0.7734375,0.41796875
120,$0.5$,-0.75,0.03951822916666667
6,$0.7$,-0.6953125,0.04296875
