energy,p_a
18.0,0.4
19.0,0.4
23.5,0.4
14.0,0.4
22.0,0.4
21.5,0.4
19.5,0.4
23.0,0.4
11.5,0.4
19.5,0.4
22.5,0.4
20.5,0.4
17.0,0.4
24.0,0.4
28.5,0.4
21.5,0.4
28.0,0.4
22.0,0.4
29.0,0.4
19.0,0.4
21.0,0.4
23.5,0.4
18.0,0.4
19.5,0.4
23.5,0.4
20.0,0.4
16.5,0.4
18.5,0.4
19.0,0.4
17.0,0.4
24.5,0.4
23.5,0.4
21.0,0.4
27.5,0.4
26.5,0.4
22.5,0.4
25.0,0.4
16.0,0.4
26.5,0.4
18.0,0.4
27.5,0.4
30.5,0.4
15.5,0.4
19.5,0.4
19.5,0.4
21.0,0.4
17.0,0.4
19.5,0.4
15.0,0.4
22.5,0.4
18.0,0.4
32.0,0.6
30.5,0.6
26.0,0.6
33.0,0.6
20.5,0.6
28.5,0.6
36.5,0.6
30.0,0.6
29.5,0.6
33.0,0.6
32.0,0.6
25.0,0.6
30.0,0.6
27.0,0.6
31.5,0.6
17.0,0.6
38.5,0.6
33.5,0.6
23.5,0.6
30.0,0.6
17.0,0.6
33.0,0.6
34.0,0.6
35.5,0.6
36.5,0.6
26.5,0.6
27.0,0.6
34.5,0.6
33.5,0.6
34.5,0.6
35.5,0.6
31.5,0.6
29.5,0.6
33.0,0.6
29.0,0.6
32.5,0.6
37.0,0.6
27.0,0.6
31.5,0.6
32.5,0.6
28.5,0.6
29.5,0.6
33.0,0.6
35.0,0.6
27.5,0.6
22.0,0.6
36.0,0.6
27.0,0.6
34.0,0.6
30.5,0.6
29.5,0.6
34.5,0.6
31.0,0.6
34.5,0.6
31.0,0.6
33.0,0.6
36.0,0.6
33.0,0.6
28.0,0.6
27.0,0.6
23.5,0.6
32.5,0.6
31.0,0.6
29.0,0.6
28.5,0.6
33.0,0.6
34.5,0.6
30.5,0.6
33.5,0.6
35.0,0.6
32.5,0.6
26.0,0.6
25.0,0.6
27.5,0.6
26.0,0.6
39.0,0.6
28.5,0.6
27.5,0.6
34.5,0.6
30.5,0.6
34.5,0.6
33.5,0.6
34.5,0.6
28.0,0.6
35.0,0.6
21.5,0.6
29.5,0.6
38.0,0.6
35.5,0.6
34.0,0.6
28.5,0.6
24.0,0.6
26.5,0.6
31.5,0.6
30.5,0.6
31.5,0.6
27.0,0.6
26.5,0.6
