length,p_a
34.0,0.000244140625
30.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
30.0,0.000244140625
34.0,0.000244140625
30.0,0.000244140625
34.0,0.000244140625
1.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
1.0,0.000244140625
34.0,0.000244140625
30.0,0.000244140625
1.0,0.000244140625
1.0,0.000244140625
34.0,0.000244140625
30.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
30.0,0.000244140625
30.0,0.000244140625
34.0,0.000244140625
30.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
30.0,0.000244140625
34.0,0.000244140625
30.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
30.0,0.000244140625
34.0,0.000244140625
30.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
30.0,0.000244140625
1.0,0.000244140625
34.0,0.000244140625
1.0,0.000244140625
34.0,0.000244140625
34.0,0.000244140625
30.0,0.000244140625
30.0,0.015625
1.0,0.015625
34.0,0.015625
34.0,0.015625
30.0,0.015625
30.0,0.015625
30.0,0.015625
34.0,0.015625
34.0,0.015625
1.0,0.015625
34.0,0.015625
30.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
1.0,0.015625
30.0,0.015625
34.0,0.015625
34.0,0.015625
1.0,0.015625
34.0,0.015625
34.0,0.015625
30.0,0.015625
34.0,0.015625
30.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
30.0,0.015625
30.0,0.015625
34.0,0.015625
34.0,0.015625
1.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
30.0,0.015625
1.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
1.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
30.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
1.0,0.015625
34.0,0.015625
30.0,0.015625
30.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
30.0,0.015625
34.0,0.015625
30.0,0.015625
34.0,0.015625
34.0,0.015625
1.0,0.015625
34.0,0.015625
1.0,0.015625
30.0,0.015625
1.0,0.015625
34.0,0.015625
1.0,0.015625
1.0,0.015625
1.0,0.015625
34.0,0.015625
1.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
1.0,0.015625
30.0,0.015625
30.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
1.0,0.015625
30.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
30.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
30.0,0.015625
34.0,0.015625
30.0,0.015625
34.0,0.015625
34.0,0.015625
30.0,0.015625
34.0,0.015625
1.0,0.015625
30.0,0.015625
34.0,0.015625
34.0,0.015625
30.0,0.015625
1.0,0.015625
34.0,0.015625
1.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
30.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
1.0,0.015625
30.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
1.0,0.015625
34.0,0.015625
30.0,0.015625
30.0,0.015625
30.0,0.015625
1.0,0.015625
1.0,0.015625
1.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
1.0,0.015625
1.0,0.015625
30.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
30.0,0.015625
1.0,0.015625
30.0,0.015625
1.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
1.0,0.015625
30.0,0.015625
30.0,0.015625
30.0,0.015625
30.0,0.015625
34.0,0.015625
30.0,0.015625
34.0,0.015625
34.0,0.015625
30.0,0.015625
30.0,0.015625
34.0,0.015625
30.0,0.015625
30.0,0.015625
30.0,0.015625
34.0,0.015625
30.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
30.0,0.015625
34.0,0.015625
1.0,0.015625
30.0,0.015625
34.0,0.015625
1.0,0.015625
34.0,0.015625
34.0,0.015625
34.0,0.015625
30.0,0.015625
30.0,0.015625
20.0,0.125
68.0,0.125
1.0,0.125
44.0,0.125
1.0,0.125
202.0,0.125
202.0,0.125
202.0,0.125
1.0,0.125
1.0,0.125
20.0,0.125
44.0,0.125
1.0,0.125
1.0,0.125
1.0,0.125
202.0,0.125
202.0,0.125
1.0,0.125
1.0,0.125
20.0,0.125
1.0,0.125
1.0,0.125
202.0,0.125
202.0,0.125
68.0,0.125
202.0,0.125
1.0,0.125
44.0,0.125
202.0,0.125
1.0,0.125
1.0,0.125
202.0,0.125
20.0,0.125
202.0,0.125
1.0,0.125
1.0,0.125
1.0,0.125
1.0,0.125
1.0,0.125
1.0,0.125
202.0,0.125
1.0,0.125
68.0,0.125
1.0,0.125
1.0,0.125
202.0,0.125
202.0,0.125
202.0,0.125
202.0,0.125
1.0,0.125
1.0,0.125
1.0,0.125
20.0,0.125
68.0,0.125
20.0,0.125
