length,$r_{stable}$,fct,Energy,Consensus
12002,0.0546875,56,-0.98046875,0.3359375
12002,0.05859375,60,-0.9765625,0.171875
12002,0.0625,64,-0.95703125,0.197265625
12002,0.06640625,68,-0.98046875,0.521484375
12002,0.0703125,72,-0.95703125,0.10546875
12002,0.07421875,76,-0.96484375,0.083984375
12002,0.078125,80,-0.96484375,0.47265625
512,0.0,0,-0.984375,0.8046875
1,0.00390625,4,-1.0,1.0
11169,0.0078125,8,-0.99609375,0.3321106410600769
1,0.01171875,12,-1.0,1.0
12002,0.015625,16,-0.9921875,0.76953125
12002,0.01953125,20,-0.9921875,0.669921875
12002,0.0234375,24,-0.98828125,0.087890625
12002,0.02734375,28,-0.984375,0.021484375
12002,0.03125,32,-0.98828125,0.728515625
12002,0.03515625,36,-0.984375,0.078125
12002,0.0390625,40,-0.98046875,0.251953125
12002,0.04296875,44,-0.984375,0.232421875
12002,0.046875,48,-0.984375,0.07421875
12002,0.05078125,52,-0.96875,0.400390625
12002,0.0546875,56,-0.97265625,0.443359375
12002,0.05859375,60,-0.97265625,0.037109375
12002,0.0625,64,-0.9765625,0.494140625
12002,0.06640625,68,-0.97265625,0.099609375
12002,0.0703125,72,-0.96484375,0.13671875
12002,0.07421875,76,-0.96875,0.203125
12002,0.078125,80,-0.97265625,0.0078125
512,0.0,0,-0.9921875,0.9609375
12002,0.00390625,4,-0.99609375,0.4453125
1,0.0078125,8,-1.0,1.0
12002,0.01171875,12,-0.9921875,0.439453125
1540,0.015625,16,-0.99609375,0.4892578125
12002,0.01953125,20,-0.9921875,0.912109375
12002,0.0234375,24,-0.98046875,0.20703125
12002,0.02734375,28,-0.984375,0.59765625
12002,0.03125,32,-0.984375,0.12890625
12002,0.03515625,36,-0.98046875,0.072265625
12002,0.0390625,40,-0.98046875,0.263671875
12002,0.04296875,44,-0.984375,0.125
12002,0.046875,48,-0.98046875,0.01171875
12002,0.05078125,52,-0.96875,0.337890625
12002,0.0546875,56,-0.9765625,0.01953125
12002,0.05859375,60,-0.98046875,0.306640625
12002,0.0625,64,-0.9609375,0.09375
12002,0.06640625,68,-0.97265625,0.00390625
12002,0.0703125,72,-0.97265625,0.27734375
12002,0.07421875,76,-0.95703125,0.16796875
12002,0.078125,80,-0.96484375,0.19921875
512,0.0,0,-0.91796875,0.54296875
1,0.00390625,4,-1.0,1.0
