length,$p_{stable}$,SpinGlass,Magnetization
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.921875,0.390625
129,$0$,-0.9375,0.16279069767441862
129,$1/n^2$,-0.9375,0.16279069767441862
129,$1/n^{3/2}$,-0.9375,0.16279069767441862
129,$1/n$,-0.9375,0.16279069767441862
297,$1/\sqrt{n}$,-0.96875,0.4375
2310,$1/{n^{1/3}}$,-0.96875,0.61328125
600,$1/\log^{2}(n)$,-0.984375,0.55078125
3002,$1/\log(n)$,-0.9375,0.234375
129,$0$,-0.921875,0.1937984496124031
129,$1/n^2$,-0.921875,0.1937984496124031
129,$1/n^{3/2}$,-0.921875,0.1937984496124031
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.953125,0.1953125
3002,$1/{n^{1/3}}$,-0.9375,0.1484375
3002,$1/\log^{2}(n)$,-0.984375,0.09375
684,$1/\log(n)$,-0.96875,0.171875
127,$0$,-0.984375,0.8582677165354331
127,$1/n^2$,-0.984375,0.8582677165354331
127,$1/n^{3/2}$,-0.984375,0.8582677165354331
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.96875,0.4375
72,$1/{n^{1/3}}$,-0.96875,0.4453125
3002,$1/\log^{2}(n)$,-0.984375,0.421875
252,$1/\log(n)$,-0.96875,0.24609375
127,$0$,-0.921875,0.1968503937007874
127,$1/n^2$,-0.921875,0.1968503937007874
127,$1/n^{3/2}$,-0.921875,0.1968503937007874
1,$1/n$,-1.0,1.0
2100,$1/\sqrt{n}$,-0.953125,0.40234375
396,$1/{n^{1/3}}$,-0.953125,0.48046875
231,$1/\log^{2}(n)$,-0.984375,0.45302353896103903
2184,$1/\log(n)$,-0.96875,0.359375
129,$0$,-0.953125,0.9224806201550388
129,$1/n^2$,-0.953125,0.9224806201550388
129,$1/n^{3/2}$,-0.953125,0.9224806201550388
129,$1/n$,-0.953125,0.9224806201550388
160,$1/\sqrt{n}$,-0.984375,0.171875
336,$1/{n^{1/3}}$,-0.90625,0.12890625
1980,$1/\log^{2}(n)$,-0.984375,0.3755287247474747
3002,$1/\log(n)$,-0.890625,0.0625
129,$0$,-0.859375,0.3798449612403101
129,$1/n^2$,-0.859375,0.3798449612403101
129,$1/n^{3/2}$,-0.859375,0.3798449612403101
3002,$1/n$,-0.984375,0.59375
3002,$1/\sqrt{n}$,-0.96875,0.4140625
3002,$1/{n^{1/3}}$,-0.9375,0.125
3002,$1/\log^{2}(n)$,-0.984375,0.8671875
630,$1/\log(n)$,-0.921875,0.1328125
127,$0$,-0.953125,0.6220472440944882
127,$1/n^2$,-0.953125,0.6220472440944882
127,$1/n^{3/2}$,-0.953125,0.6220472440944882
127,$1/n$,-0.953125,0.6220472440944882
1560,$1/\sqrt{n}$,-0.96875,0.70703125
3002,$1/{n^{1/3}}$,-0.921875,0.1875
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.953125,0.234375
127,$0$,-0.875,0.4173228346456693
127,$1/n^2$,-0.875,0.4173228346456693
127,$1/n^{3/2}$,-0.875,0.4173228346456693
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.953125,0.2109375
3002,$1/{n^{1/3}}$,-0.9375,0.203125
2260,$1/\log^{2}(n)$,-0.984375,0.4062154314159292
3002,$1/\log(n)$,-0.921875,0.65625
127,$0$,-0.90625,0.14960629921259844
127,$1/n^2$,-0.90625,0.14960629921259844
127,$1/n^{3/2}$,-0.90625,0.14960629921259844
127,$1/n$,-0.90625,0.14960629921259844
646,$1/\sqrt{n}$,-0.984375,0.68359375
3002,$1/{n^{1/3}}$,-0.890625,0.0390625
1548,$1/\log^{2}(n)$,-0.984375,0.5234375
24,$1/\log(n)$,-0.953125,0.2578125
127,$0$,-0.984375,0.9842519685039369
127,$1/n^2$,-0.984375,0.9842519685039369
127,$1/n^{3/2}$,-0.984375,0.9842519685039369
127,$1/n$,-0.984375,0.9842519685039369
3002,$1/\sqrt{n}$,-0.9375,0.0078125
2520,$1/{n^{1/3}}$,-0.9375,0.05832093253968254
3002,$1/\log^{2}(n)$,-0.984375,0.5546875
3002,$1/\log(n)$,-0.9375,0.046875
127,$0$,-0.9375,0.7007874015748031
127,$1/n^2$,-0.9375,0.7007874015748031
127,$1/n^{3/2}$,-0.9375,0.7007874015748031
1,$1/n$,-1.0,1.0
108,$1/\sqrt{n}$,-0.984375,0.22164351851851846
1368,$1/{n^{1/3}}$,-0.9375,0.1630345394736842
3002,$1/\log^{2}(n)$,-0.984375,0.7421875
3002,$1/\log(n)$,-0.921875,0.0
127,$0$,-0.921875,0.2913385826771653
127,$1/n^2$,-0.921875,0.2913385826771653
127,$1/n^{3/2}$,-0.921875,0.2913385826771653
1,$1/n$,-1.0,1.0
360,$1/\sqrt{n}$,-0.984375,0.73046875
3002,$1/{n^{1/3}}$,-0.9375,0.078125
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.953125,0.453125
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.953125,0.0390625
1980,$1/{n^{1/3}}$,-0.921875,0.08923611111111111
3002,$1/\log^{2}(n)$,-0.984375,0.4296875
3002,$1/\log(n)$,-0.953125,0.453125
129,$0$,-0.953125,0.1007751937984496
129,$1/n^2$,-0.953125,0.1007751937984496
129,$1/n^{3/2}$,-0.953125,0.1007751937984496
1,$1/n$,-1.0,1.0
860,$1/\sqrt{n}$,-0.96875,0.48046875
2520,$1/{n^{1/3}}$,-0.90625,0.07432415674603175
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.9375,0.2109375
129,$0$,-0.859375,0.08539244186046513
129,$1/n^2$,-0.859375,0.08539244186046513
129,$1/n^{3/2}$,-0.859375,0.08539244186046513
129,$1/n$,-0.859375,0.08539244186046513
504,$1/\sqrt{n}$,-0.96875,0.14862351190476192
360,$1/{n^{1/3}}$,-0.9375,0.4375
3002,$1/\log^{2}(n)$,-0.984375,0.1953125
3002,$1/\log(n)$,-0.953125,0.3671875
129,$0$,-0.96875,0.6124031007751938
129,$1/n^2$,-0.96875,0.6124031007751938
129,$1/n^{3/2}$,-0.96875,0.6124031007751938
1,$1/n$,-1.0,1.0
160,$1/\sqrt{n}$,-0.96875,0.06767578125
3002,$1/{n^{1/3}}$,-0.890625,0.1171875
616,$1/\log^{2}(n)$,-0.984375,0.46875
3002,$1/\log(n)$,-0.953125,0.2421875
127,$0$,-0.875,0.6220472440944882
127,$1/n^2$,-0.875,0.6220472440944882
127,$1/n^{3/2}$,-0.875,0.6220472440944882
1,$1/n$,-1.0,1.0
624,$1/\sqrt{n}$,-0.96875,0.10869891826923077
24,$1/{n^{1/3}}$,-0.96875,0.3515625
300,$1/\log^{2}(n)$,-0.984375,0.73046875
990,$1/\log(n)$,-0.953125,0.059193497474747475
127,$0$,-0.90625,0.10236220472440943
127,$1/n^2$,-0.90625,0.10236220472440943
127,$1/n^{3/2}$,-0.90625,0.10236220472440943
1,$1/n$,-1.0,1.0
2205,$1/\sqrt{n}$,-0.984375,0.4296875
2520,$1/{n^{1/3}}$,-0.90625,0.17578125
1,$1/\log^{2}(n)$,-1.0,1.0
1440,$1/\log(n)$,-0.953125,0.10158420138888888
129,$0$,-0.953125,0.9069767441860463
129,$1/n^2$,-0.953125,0.9069767441860463
129,$1/n^{3/2}$,-0.953125,0.9069767441860463
129,$1/n$,-0.953125,0.9069767441860463
3002,$1/\sqrt{n}$,-0.953125,0.3828125
3002,$1/{n^{1/3}}$,-0.9375,0.3828125
3002,$1/\log^{2}(n)$,-0.96875,0.0859375
3002,$1/\log(n)$,-0.9375,0.1328125
129,$0$,-0.96875,0.9224806201550388
129,$1/n^2$,-0.96875,0.9224806201550388
129,$1/n^{3/2}$,-0.96875,0.9224806201550388
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
3002,$1/{n^{1/3}}$,-0.921875,0.0625
3002,$1/\log^{2}(n)$,-0.96875,0.5546875
2856,$1/\log(n)$,-0.953125,0.6484375
129,$0$,-0.96875,0.14728682170542634
129,$1/n^2$,-0.96875,0.14728682170542634
129,$1/n^{3/2}$,-0.96875,0.14728682170542634
1,$1/n$,-1.0,1.0
210,$1/\sqrt{n}$,-0.984375,0.66796875
1800,$1/{n^{1/3}}$,-0.921875,0.296875
1,$1/\log^{2}(n)$,-1.0,1.0
396,$1/\log(n)$,-0.96875,0.34375
127,$0$,-0.84375,0.03986220472440945
127,$1/n^2$,-0.84375,0.03986220472440945
1,$1/n^{3/2}$,-1.0,1.0
127,$1/n$,-0.84375,0.03986220472440945
3002,$1/\sqrt{n}$,-0.953125,0.0859375
3002,$1/{n^{1/3}}$,-0.96875,0.4140625
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.890625,0.1953125
127,$0$,-0.9375,0.6692913385826772
127,$1/n^2$,-0.9375,0.6692913385826772
127,$1/n^{3/2}$,-0.9375,0.6692913385826772
1,$1/n$,-1.0,1.0
990,$1/\sqrt{n}$,-0.96875,0.19678030303030306
3002,$1/{n^{1/3}}$,-0.921875,0.125
14,$1/\log^{2}(n)$,-0.984375,0.9375
60,$1/\log(n)$,-0.96875,0.57421875
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
207,$1/\sqrt{n}$,-0.96875,0.7109375
180,$1/{n^{1/3}}$,-0.9375,0.10164930555555557
3002,$1/\log^{2}(n)$,-0.96875,0.03125
252,$1/\log(n)$,-0.921875,0.50390625
129,$0$,-0.984375,0.4883720930232558
129,$1/n^2$,-0.984375,0.4883720930232558
129,$1/n^{3/2}$,-0.984375,0.4883720930232558
1,$1/n$,-1.0,1.0
840,$1/\sqrt{n}$,-0.953125,0.2618675595238095
1170,$1/{n^{1/3}}$,-0.9375,0.375
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.953125,0.046875
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
630,$1/{n^{1/3}}$,-0.921875,0.20703125
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.9375,0.0546875
127,$0$,-0.953125,0.9370078740157479
127,$1/n^2$,-0.953125,0.9370078740157479
