length,$p_{stable}$,Energy,Consensus
126,$1/n^{3/2}$,-0.921875,0.7777777777777778
1,$1/n$,-1.0,1.0
1,$1/{n^{3/4}}$,-1.0,1.0
3502,$1/\sqrt{n}$,-0.953125,0.0234375
3502,$1/{n^{1/3}}$,-0.921875,0.09375
126,$1/\log^{3}(n)$,-0.921875,0.7777777777777778
1,$1/\log^{2}(n)$,-1.0,1.0
990,$1/\log(n)$,-0.96875,0.45703125
130,$1/n^{3/2}$,-0.96875,0.9384615384615383
1,$1/n$,-1.0,1.0
1,$1/{n^{3/4}}$,-1.0,1.0
132,$1/\sqrt{n}$,-0.984375,0.5546875
3502,$1/{n^{1/3}}$,-0.953125,0.46875
130,$1/\log^{3}(n)$,-0.96875,0.9384615384615383
110,$1/\log^{2}(n)$,-0.984375,0.61328125
462,$1/\log(n)$,-0.953125,0.59765625
126,$1/n^{3/2}$,-0.984375,0.2857142857142857
1,$1/n$,-1.0,1.0
1,$1/{n^{3/4}}$,-1.0,1.0
408,$1/\sqrt{n}$,-0.96875,0.42578125
3502,$1/{n^{1/3}}$,-0.921875,0.109375
126,$1/\log^{3}(n)$,-0.984375,0.2857142857142857
1,$1/\log^{2}(n)$,-1.0,1.0
3502,$1/\log(n)$,-0.953125,0.2734375
130,$1/n^{3/2}$,-0.9375,0.7846153846153846
1,$1/n$,-1.0,1.0
1,$1/{n^{3/4}}$,-1.0,1.0
2244,$1/\sqrt{n}$,-0.96875,0.2354333778966132
3502,$1/{n^{1/3}}$,-0.921875,0.4921875
130,$1/\log^{3}(n)$,-0.9375,0.7846153846153846
1,$1/\log^{2}(n)$,-1.0,1.0
3502,$1/\log(n)$,-0.9375,0.234375
126,$1/n^{3/2}$,-0.96875,0.8253968253968254
126,$1/n$,-0.96875,0.8253968253968254
1,$1/{n^{3/4}}$,-1.0,1.0
456,$1/\sqrt{n}$,-0.96875,0.0815515350877193
3502,$1/{n^{1/3}}$,-0.9375,0.1640625
1,$1/\log^{3}(n)$,-1.0,1.0
1,$1/\log^{2}(n)$,-1.0,1.0
3502,$1/\log(n)$,-0.90625,0.28125
130,$1/n^{3/2}$,-0.9375,0.7538461538461538
130,$1/n$,-0.9375,0.7538461538461538
1,$1/{n^{3/4}}$,-1.0,1.0
720,$1/\sqrt{n}$,-0.96875,0.289453125
3502,$1/{n^{1/3}}$,-0.921875,0.109375
130,$1/\log^{3}(n)$,-0.9375,0.7538461538461538
3502,$1/\log^{2}(n)$,-0.984375,0.1796875
210,$1/\log(n)$,-0.953125,0.03950892857142857
126,$1/n^{3/2}$,-0.953125,0.6984126984126984
1,$1/n$,-1.0,1.0
1,$1/{n^{3/4}}$,-1.0,1.0
120,$1/\sqrt{n}$,-0.96875,0.22265625
57,$1/{n^{1/3}}$,-0.984375,0.84375
1,$1/\log^{3}(n)$,-1.0,1.0
1,$1/\log^{2}(n)$,-1.0,1.0
924,$1/\log(n)$,-0.96875,0.09001285173160173
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1188,$1/{n^{3/4}}$,-0.96875,0.6015625
27,$1/\sqrt{n}$,-0.984375,0.1796875
60,$1/{n^{1/3}}$,-0.9375,0.6484375
1,$1/\log^{3}(n)$,-1.0,1.0
3502,$1/\log^{2}(n)$,-0.984375,0.4921875
3502,$1/\log(n)$,-0.9375,0.1796875
126,$1/n^{3/2}$,-0.96875,0.873015873015873
126,$1/n$,-0.96875,0.873015873015873
315,$1/{n^{3/4}}$,-0.984375,0.6171875
39,$1/\sqrt{n}$,-0.984375,0.8203125
180,$1/{n^{1/3}}$,-0.90625,0.41796875
1,$1/\log^{3}(n)$,-1.0,1.0
3502,$1/\log^{2}(n)$,-0.96875,0.3671875
3502,$1/\log(n)$,-0.921875,0.0390625
126,$1/n^{3/2}$,-0.890625,0.492063492063492
3502,$1/n$,-0.984375,0.1640625
1,$1/{n^{3/4}}$,-1.0,1.0
3502,$1/\sqrt{n}$,-0.9375,0.1484375
3502,$1/{n^{1/3}}$,-0.953125,0.421875
126,$1/\log^{3}(n)$,-0.890625,0.492063492063492
1,$1/\log^{2}(n)$,-1.0,1.0
462,$1/\log(n)$,-0.96875,0.22265625
126,$1/n^{3/2}$,-0.96875,0.05493551587301587
126,$1/n$,-0.96875,0.05493551587301587
3502,$1/{n^{3/4}}$,-0.984375,0.015625
130,$1/\sqrt{n}$,-0.984375,0.11328125
840,$1/{n^{1/3}}$,-0.90625,0.21875
126,$1/\log^{3}(n)$,-0.96875,0.05493551587301587
3502,$1/\log^{2}(n)$,-0.984375,0.1953125
264,$1/\log(n)$,-0.953125,0.48046875
130,$1/n^{3/2}$,-0.953125,0.8153846153846154
130,$1/n$,-0.953125,0.8153846153846154
240,$1/{n^{3/4}}$,-0.984375,0.4296875
30,$1/\sqrt{n}$,-0.984375,0.82421875
3502,$1/{n^{1/3}}$,-0.921875,0.3359375
130,$1/\log^{3}(n)$,-0.953125,0.8153846153846154
1,$1/\log^{2}(n)$,-1.0,1.0
180,$1/\log(n)$,-0.953125,0.18359375
130,$1/n^{3/2}$,-0.984375,0.953846153846154
1,$1/n$,-1.0,1.0
1,$1/{n^{3/4}}$,-1.0,1.0
34,$1/\sqrt{n}$,-0.984375,0.55078125
3502,$1/{n^{1/3}}$,-0.921875,0.015625
1,$1/\log^{3}(n)$,-1.0,1.0
1,$1/\log^{2}(n)$,-1.0,1.0
720,$1/\log(n)$,-0.921875,0.27738715277777776
130,$1/n^{3/2}$,-0.890625,0.8
1,$1/n$,-1.0,1.0
