length,$p_{stable}$,SpinGlass,Magnetization
6,$0.9$,-0.65625,0.18359375
1,$1$,-0.625,0.1640625
129,$0.0$,-0.96875,0.14728682170542634
1680,$0.1$,-0.9375,0.27734375
60,$0.3$,-0.890625,0.48828125
60,$0.5$,-0.765625,0.08984375
12,$0.7$,-0.734375,0.078125
2,$0.9$,-0.671875,0.04296875
1,$1$,-0.640625,0.09375
129,$0.0$,-0.953125,0.9379844961240309
3002,$0.1$,-0.90625,0.1171875
60,$0.3$,-0.859375,0.43359375
60,$0.5$,-0.71875,0.026041666666666668
12,$0.7$,-0.75,0.02083333333333333
2,$0.9$,-0.65625,0.03125
1,$1$,-0.609375,0.015625
127,$0.0$,-0.984375,0.968503937007874
3002,$0.1$,-0.953125,0.0703125
210,$0.3$,-0.875,0.19140625
504,$0.5$,-0.796875,0.08984375
12,$0.7$,-0.734375,0.09765625
2,$0.9$,-0.671875,0.07421875
1,$1$,-0.625,0.0859375
129,$0.0$,-0.96875,0.9534883720930232
56,$0.1$,-0.984375,0.11774553571428573
60,$0.3$,-0.859375,0.390625
12,$0.5$,-0.75,0.109375
420,$0.7$,-0.765625,0.02473958333333333
2,$0.9$,-0.734375,0.18359375
1,$1$,-0.703125,0.1875
127,$0.0$,-0.984375,0.9842519685039369
2310,$0.1$,-0.953125,0.050189393939393936
60,$0.3$,-0.90625,0.34765625
60,$0.5$,-0.828125,0.1796875
12,$0.7$,-0.703125,0.18359375
6,$0.9$,-0.734375,0.109375
1,$1$,-0.71875,0.140625
129,$0.0$,-0.96875,0.5348837209302325
3002,$0.1$,-0.9375,0.1953125
60,$0.3$,-0.875,0.03411458333333333
210,$0.5$,-0.84375,0.140625
4,$0.7$,-0.796875,0.0234375
2,$0.9$,-0.6875,0.00390625
1,$1$,-0.640625,0.09375
127,$0.0$,-0.984375,0.8740157480314961
72,$0.1$,-0.96875,0.1640625
420,$0.3$,-0.875,0.421875
120,$0.5$,-0.8125,0.027994791666666668
12,$0.7$,-0.71875,0.10546875
2,$0.9$,-0.671875,0.0546875
1,$1$,-0.65625,0.0390625
129,$0.0$,-0.96875,0.751937984496124
3002,$0.1$,-0.96875,0.03125
840,$0.3$,-0.859375,0.12920386904761905
12,$0.5$,-0.796875,0.1640625
6,$0.7$,-0.75,0.12890625
6,$0.9$,-0.703125,0.10546875
1,$1$,-0.640625,0.078125
127,$0.0$,-0.90625,0.6062992125984252
2340,$0.1$,-0.9375,0.13401442307692307
3002,$0.3$,-0.859375,0.03125
60,$0.5$,-0.828125,0.25
12,$0.7$,-0.71875,0.015625
6,$0.9$,-0.640625,0.13671875
1,$1$,-0.640625,0.1015625
129,$0.0$,-0.890625,0.10089631782945736
144,$0.1$,-0.9375,0.12358940972222222
60,$0.3$,-0.828125,0.1328125
42,$0.5$,-0.84375,0.1484375
84,$0.7$,-0.703125,0.019159226190476192
6,$0.9$,-0.640625,0.07421875
1,$1$,-0.640625,0.0546875
1,$0.0$,-1.0,1.0
90,$0.1$,-0.96875,0.62890625
312,$0.3$,-0.890625,0.3515625
420,$0.5$,-0.796875,0.0859375
12,$0.7$,-0.765625,0.14453125
6,$0.9$,-0.65625,0.15625
1,$1$,-0.65625,0.1953125
127,$0.0$,-0.984375,0.7795275590551181
3002,$0.1$,-0.9375,0.3671875
72,$0.3$,-0.84375,0.04275173611111111
60,$0.5$,-0.765625,0.25390625
60,$0.7$,-0.703125,0.03515625
2,$0.9$,-0.640625,0.01953125
1,$1$,-0.59375,0.015625
127,$0.0$,-0.921875,0.2125984251968504
3002,$0.1$,-0.953125,0.4609375
1980,$0.3$,-0.890625,0.38671875
84,$0.5$,-0.859375,0.3515625
12,$0.7$,-0.75,0.21484375
12,$0.9$,-0.625,0.1953125
1,$1$,-0.609375,0.28125
129,$0.0$,-0.890625,0.2558139534883721
238,$0.1$,-0.96875,0.5234375
252,$0.3$,-0.84375,0.26953125
60,$0.5$,-0.8125,0.08203125
12,$0.7$,-0.71875,0.06640625
6,$0.9$,-0.625,0.02734375
1,$1$,-0.59375,0.015625
129,$0.0$,-0.875,0.6124031007751938
3002,$0.1$,-0.953125,0.3046875
3002,$0.3$,-0.921875,0.0
24,$0.5$,-0.78125,0.19140625
12,$0.7$,-0.671875,0.1328125
2,$0.9$,-0.578125,0.08984375
1,$1$,-0.578125,0.1015625
129,$0.0$,-0.96875,0.4573643410852713
2640,$0.1$,-0.9375,0.19140625
2520,$0.3$,-0.875,0.359375
3002,$0.5$,-0.8125,0.1796875
12,$0.7$,-0.671875,0.10546875
12,$0.9$,-0.671875,0.0625
1,$1$,-0.640625,0.109375
127,$0.0$,-0.953125,0.7952755905511811
3002,$0.1$,-0.921875,0.1953125
3002,$0.3$,-0.859375,0.0
60,$0.5$,-0.78125,0.10546875
12,$0.7$,-0.671875,0.16796875
6,$0.9$,-0.59375,0.04296875
1,$1$,-0.59375,0.03125
127,$0.0$,-0.96875,0.84251968503937
3002,$0.1$,-0.96875,0.4453125
1560,$0.3$,-0.859375,0.09590344551282053
120,$0.5$,-0.78125,0.055078125
12,$0.7$,-0.75,0.08203125
6,$0.9$,-0.609375,0.0859375
1,$1$,-0.578125,0.03125
129,$0.0$,-0.96875,0.11627906976744184
336,$0.1$,-0.96875,0.66015625
24,$0.3$,-0.84375,0.080078125
12,$0.5$,-0.8125,0.013020833333333334
30,$0.7$,-0.671875,0.2265625
2,$0.9$,-0.65625,0.05859375
1,$1$,-0.640625,0.03125
1,$0.0$,-1.0,1.0
3002,$0.1$,-0.9375,0.0
3002,$0.3$,-0.84375,0.296875
120,$0.5$,-0.84375,0.07421875
12,$0.7$,-0.75,0.04296875
2,$0.9$,-0.640625,0.08203125
1,$1$,-0.609375,0.015625
1,$0.0$,-1.0,1.0
3002,$0.1$,-0.9375,0.234375
180,$0.3$,-0.84375,0.04626736111111111
60,$0.5$,-0.75,0.2265625
60,$0.7$,-0.734375,0.15625
4,$0.9$,-0.640625,0.01953125
1,$1$,-0.578125,0.015625
127,$0.0$,-0.859375,0.08661417322834647
3002,$0.1$,-0.953125,0.34375
1848,$0.3$,-0.90625,0.375
60,$0.5$,-0.765625,0.1171875
12,$0.7$,-0.671875,0.12109375
2,$0.9$,-0.65625,0.1875
1,$1$,-0.609375,0.1328125
129,$0.0$,-0.953125,0.8914728682170543
336,$0.1$,-0.9375,0.34765625
180,$0.3$,-0.890625,0.359375
840,$0.5$,-0.765625,0.05085565476190476
60,$0.7$,-0.6875,0.1640625
6,$0.9$,-0.640625,0.10546875
1,$1$,-0.609375,0.0390625
127,$0.0$,-0.953125,0.040969488188976375
40,$0.1$,-0.984375,0.08125
3002,$0.3$,-0.84375,0.1015625
12,$0.5$,-0.8125,0.018229166666666668
120,$0.7$,-0.703125,0.1015625
2,$0.9$,-0.640625,0.19140625
1,$1$,-0.578125,0.125
129,$0.0$,-0.984375,0.9689922480620154
3002,$0.1$,-0.953125,0.0859375
360,$0.3$,-0.8125,0.13671875
420,$0.5$,-0.796875,0.03110119047619048
12,$0.7$,-0.703125,0.0546875
6,$0.9$,-0.6875,0.078125
1,$1$,-0.625,0.0390625
127,$0.0$,-0.953125,0.8110236220472441
3002,$0.1$,-0.9375,0.171875
1260,$0.3$,-0.875,0.19921875
60,$0.5$,-0.796875,0.1015625
12,$0.7$,-0.734375,0.0546875
6,$0.9$,-0.609375,0.02734375
1,$1$,-0.625,0.03125
127,$0.0$,-0.984375,0.9212598425196852
3002,$0.1$,-0.96875,0.359375
120,$0.3$,-0.84375,0.15625
84,$0.5$,-0.78125,0.203125
60,$0.7$,-0.703125,0.26171875
4,$0.9$,-0.625,0.07421875
1,$1$,-0.578125,0.0859375
1,$0.0$,-1.0,1.0
56,$0.1$,-0.984375,0.73046875
1260,$0.3$,-0.8125,0.09083581349206347
60,$0.5$,-0.765625,0.2421875
12,$0.7$,-0.765625,0.1875
2,$0.9$,-0.640625,0.03515625
1,$1$,-0.578125,0.0390625
129,$0.0$,-0.96875,0.7674418604651163
3002,$0.1$,-0.9375,0.15625
252,$0.3$,-0.84375,0.3359375
24,$0.5$,-0.8125,0.030598958333333325
12,$0.7$,-0.75,0.125
4,$0.9$,-0.75,0.10546875
1,$1$,-0.6875,0.0546875
129,$0.0$,-0.984375,0.9844961240310076
3002,$0.1$,-0.96875,0.2109375
24,$0.3$,-0.859375,0.37109375
60,$0.5$,-0.78125,0.12890625
12,$0.7$,-0.703125,0.028645833333333325
6,$0.9$,-0.640625,0.0390625
