init_magnet,length,Magnetization_mean,Magnetization_min,Magnetization_max,Magnetization_std,SpinGlass,unstables
0.0,1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,-35.0,0
0.0,1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,-35.0,1
0.0,1,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.0,-39.0,2
0.0,2,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.0,-39.0,3
0.0,2,0.10666666666666666,0.09333333333333334,0.12,0.013333333333333329,-43.0,4
0.0,2,0.10666666666666666,0.09333333333333334,0.12,0.013333333333333329,-43.0,5
0.0,2,0.10666666666666666,0.09333333333333334,0.12,0.013333333333333329,-43.0,6
0.0,2,0.10666666666666666,0.09333333333333334,0.12,0.013333333333333329,-43.0,7
0.0,2,0.16,0.14666666666666667,0.17333333333333334,0.013333333333333336,-47.0,8
0.0,2,0.17333333333333334,0.14666666666666667,0.2,0.026666666666666672,-47.0,9
0.0,2,0.17333333333333334,0.14666666666666667,0.2,0.026666666666666672,-47.0,10
0.0,2,0.17333333333333334,0.14666666666666667,0.2,0.026666666666666672,-47.0,11
0.0,2,0.17333333333333334,0.14666666666666667,0.2,0.026666666666666672,-47.0,12
0.0,6,0.14666666666666667,0.09333333333333334,0.2,0.03442651863295482,-47.0,13
0.0,6,0.13333333333333336,0.09333333333333334,0.17333333333333334,0.02553138954016902,-47.0,14
0.0,6,0.13333333333333336,0.09333333333333334,0.17333333333333334,0.02553138954016902,-47.0,15
0.0,6,0.12,0.09333333333333334,0.14666666666666667,0.021773242158072692,-47.0,16
0.0,6,0.10666666666666667,0.06666666666666667,0.14666666666666667,0.025531389540169015,-47.0,17
0.0,6,0.12,0.09333333333333334,0.14666666666666667,0.021773242158072692,-47.0,18
0.0,6,0.17333333333333334,0.14666666666666667,0.2,0.0217732421580727,-51.0,19
0.0,12,0.24000000000000002,0.17333333333333334,0.30666666666666664,0.03691832827963589,-51.0,20
0.0,12,0.24000000000000002,0.17333333333333334,0.30666666666666664,0.03691832827963589,-51.0,21
0.0,12,0.24000000000000002,0.17333333333333334,0.30666666666666664,0.03691832827963589,-51.0,22
0.0,12,0.24000000000000002,0.17333333333333334,0.30666666666666664,0.03691832827963589,-51.0,23
0.0,12,0.24000000000000002,0.17333333333333334,0.30666666666666664,0.03691832827963589,-51.0,24
0.0,12,0.24000000000000002,0.17333333333333334,0.30666666666666664,0.03691832827963589,-51.0,25
0.0,12,0.24000000000000002,0.17333333333333334,0.30666666666666664,0.03691832827963589,-51.0,26
0.0,6,0.10666666666666667,0.06666666666666667,0.14666666666666667,0.025531389540169015,-55.0,27
0.0,6,0.09333333333333332,0.013333333333333334,0.17333333333333334,0.05106277908033804,-55.0,28
0.0,6,0.09333333333333332,0.013333333333333334,0.17333333333333334,0.05106277908033804,-55.0,29
0.0,6,0.09333333333333332,0.013333333333333334,0.17333333333333334,0.05106277908033804,-55.0,30
0.0,6,0.08444444444444443,0.013333333333333334,0.17333333333333334,0.05258737584977436,-55.0,31
0.0,6,0.08444444444444443,0.013333333333333334,0.17333333333333334,0.05258737584977436,-55.0,32
0.0,6,0.08444444444444443,0.013333333333333334,0.17333333333333334,0.05258737584977436,-55.0,33
0.0,6,0.08444444444444443,0.013333333333333334,0.17333333333333334,0.05258737584977436,-55.0,34
0.0,6,0.08,0.013333333333333334,0.17333333333333334,0.052774853720168526,-55.0,35
0.0,12,0.08222222222222224,0.013333333333333334,0.2,0.062023492164234945,-55.0,36
0.0,4,0.12,0.04,0.17333333333333334,0.049888765156985884,-55.0,37
0.0,4,0.12,0.04,0.17333333333333334,0.049888765156985884,-55.0,38
0.0,4,0.12,0.04,0.17333333333333334,0.049888765156985884,-55.0,39
0.0,4,0.12,0.04,0.17333333333333334,0.049888765156985884,-55.0,40
0.0,4,0.12,0.04,0.17333333333333334,0.049888765156985884,-55.0,41
0.0,4,0.12,0.04,0.17333333333333334,0.049888765156985884,-55.0,42
0.0,4,0.09333333333333334,0.04,0.14666666666666667,0.05333333333333334,-55.0,43
0.0,20,0.092,0.013333333333333334,0.2,0.05560175856531478,-55.0,44
0.0,20,0.092,0.013333333333333334,0.2,0.05560175856531478,-55.0,45
0.0,20,0.092,0.013333333333333334,0.2,0.05560175856531478,-55.0,46
0.0,20,0.092,0.013333333333333334,0.2,0.05560175856531478,-55.0,47
0.0,20,0.092,0.013333333333333334,0.2,0.05560175856531478,-55.0,48
0.0,20,0.092,0.013333333333333334,0.2,0.05560175856531478,-55.0,49
0.0,60,0.07777777777777777,0.013333333333333334,0.2,0.049241155124800755,-55.0,50
0.0,60,0.22666666666666668,0.06666666666666667,0.36,0.06622073078111707,-59.0,51
0.0,20,0.08666666666666667,0.013333333333333334,0.22666666666666666,0.06359594676112972,-63.0,52
0.0,20,0.2666666666666667,0.17333333333333334,0.38666666666666666,0.054974741674902135,-67.0,53
0.0,20,0.2666666666666667,0.17333333333333334,0.38666666666666666,0.054974741674902135,-67.0,54
0.0,60,0.42666666666666664,0.22666666666666666,0.6,0.09205473412092435,-63.0,55
0.0,60,0.42666666666666664,0.22666666666666666,0.6,0.09205473412092435,-63.0,56
0.0,60,0.42666666666666664,0.22666666666666666,0.6,0.09205473412092435,-63.0,57
0.0,60,0.41333333333333333,0.2,0.5733333333333334,0.09552971226757634,-63.0,58
0.0,30,0.49333333333333335,0.30666666666666664,0.6533333333333333,0.08977337722988514,-67.0,59
0.0,30,0.49333333333333335,0.30666666666666664,0.6533333333333333,0.08977337722988514,-67.0,60
