length,$p_{stable}$,Energy,Consensus
20002,$1/{n^{1/3}}$,-0.94921875,0.09375
1,$1/\log^{3}(n)$,-1.0,1.0
2090,$1/\log^{2}(n)$,-0.99609375,0.5478515625
20002,$1/\log(n)$,-0.94921875,0.154296875
512,$1/n^{3/2}$,-0.984375,0.80078125
512,$1/n$,-0.984375,0.80078125
1,$1/{n^{3/4}}$,-1.0,1.0
20002,$1/\sqrt{n}$,-0.9921875,0.08203125
20002,$1/{n^{1/3}}$,-0.953125,0.166015625
512,$1/\log^{3}(n)$,-0.984375,0.80078125
20002,$1/\log^{2}(n)$,-0.9921875,0.28125
20002,$1/\log(n)$,-0.9609375,0.2109375
512,$1/n^{3/2}$,-0.99609375,0.98046875
512,$1/n$,-0.99609375,0.98046875
1,$1/{n^{3/4}}$,-1.0,1.0
20002,$1/\sqrt{n}$,-0.984375,0.443359375
20002,$1/{n^{1/3}}$,-0.94921875,0.029296875
512,$1/\log^{3}(n)$,-0.99609375,0.98046875
1,$1/\log^{2}(n)$,-1.0,1.0
20002,$1/\log(n)$,-0.95703125,0.244140625
512,$1/n^{3/2}$,-0.9921875,0.98828125
1,$1/n$,-1.0,1.0
20002,$1/{n^{3/4}}$,-0.9921875,0.2109375
20002,$1/\sqrt{n}$,-0.984375,0.048828125
20002,$1/{n^{1/3}}$,-0.9609375,0.34765625
512,$1/\log^{3}(n)$,-0.9921875,0.98828125
20002,$1/\log^{2}(n)$,-0.9921875,0.1328125
20002,$1/\log(n)$,-0.96484375,0.443359375
512,$1/n^{3/2}$,-0.953125,0.51171875
512,$1/n$,-0.953125,0.51171875
5336,$1/{n^{3/4}}$,-0.99609375,0.7216796875
20002,$1/\sqrt{n}$,-0.984375,0.001953125
20002,$1/{n^{1/3}}$,-0.94921875,0.052734375
1,$1/\log^{3}(n)$,-1.0,1.0
20002,$1/\log^{2}(n)$,-0.9921875,0.5078125
20002,$1/\log(n)$,-0.95703125,0.068359375
512,$1/n^{3/2}$,-0.96484375,0.8671875
512,$1/n$,-0.96484375,0.8671875
1,$1/{n^{3/4}}$,-1.0,1.0
20002,$1/\sqrt{n}$,-0.98046875,0.734375
20002,$1/{n^{1/3}}$,-0.96484375,0.0078125
1,$1/\log^{3}(n)$,-1.0,1.0
1,$1/\log^{2}(n)$,-1.0,1.0
20002,$1/\log(n)$,-0.94140625,0.130859375
512,$1/n^{3/2}$,-0.98828125,0.91796875
20002,$1/n$,-0.99609375,0.564453125
2784,$1/{n^{3/4}}$,-0.99609375,0.4550304193606322
20002,$1/\sqrt{n}$,-0.9921875,0.107421875
20002,$1/{n^{1/3}}$,-0.9453125,0.0390625
1,$1/\log^{3}(n)$,-1.0,1.0
525,$1/\log^{2}(n)$,-0.99609375,0.513671875
20002,$1/\log(n)$,-0.94140625,0.205078125
512,$1/n^{3/2}$,-0.98046875,0.75390625
1,$1/n$,-1.0,1.0
