init_magnet,length,Magnetization_mean,Magnetization_min,Magnetization_max,Magnetization_std,SpinGlass,unstables
0.0,1,0.0,0.0,0.0,0.0,-72.0,0
0.0,1,0.0,0.0,0.0,0.0,-72.0,1
0.0,1,0.0,0.0,0.0,0.0,-72.0,2
0.0,1,0.0,0.0,0.0,0.0,-72.0,3
0.0,1,0.0,0.0,0.0,0.0,-72.0,4
0.0,1,0.0,0.0,0.0,0.0,-72.0,5
0.0,2,0.0078125,0.0,0.015625,0.0078125,-72.0,6
0.0,2,0.0078125,0.0,0.015625,0.0078125,-72.0,7
0.0,2,0.0,0.0,0.0,0.0,-72.0,8
0.0,2,0.0,0.0,0.0,0.0,-72.0,9
0.0,2,0.0546875,0.046875,0.0625,0.0078125,-72.0,10
0.0,2,0.1015625,0.09375,0.109375,0.0078125,-72.0,11
0.0,2,0.1015625,0.09375,0.109375,0.0078125,-72.0,12
0.0,2,0.1015625,0.09375,0.109375,0.0078125,-72.0,13
0.0,2,0.1015625,0.09375,0.109375,0.0078125,-72.0,14
0.0,2,0.0703125,0.0625,0.078125,0.0078125,-76.0,15
0.0,2,0.03125,0.03125,0.03125,0.0,-76.0,16
0.0,2,0.0234375,0.015625,0.03125,0.0078125,-76.0,17
0.0,2,0.0234375,0.015625,0.03125,0.0078125,-76.0,18
0.0,2,0.015625,0.0,0.03125,0.015625,-76.0,19
0.0,2,0.015625,0.0,0.03125,0.015625,-76.0,20
0.0,2,0.015625,0.0,0.03125,0.015625,-76.0,21
0.0,2,0.015625,0.0,0.03125,0.015625,-76.0,22
0.0,2,0.015625,0.0,0.03125,0.015625,-76.0,23
0.0,2,0.0234375,0.015625,0.03125,0.0078125,-76.0,24
0.0,2,0.0234375,0.015625,0.03125,0.0078125,-76.0,25
0.0,2,0.0234375,0.015625,0.03125,0.0078125,-76.0,26
0.0,2,0.03125,0.03125,0.03125,0.0,-76.0,27
0.0,2,0.0234375,0.015625,0.03125,0.0078125,-76.0,28
0.0,2,0.0625,0.0625,0.0625,0.0,-76.0,29
0.0,2,0.0625,0.0625,0.0625,0.0,-76.0,30
0.0,2,0.0703125,0.0625,0.078125,0.0078125,-76.0,31
0.0,2,0.078125,0.0625,0.09375,0.015625,-76.0,32
0.0,4,0.0546875,0.015625,0.078125,0.0234375,-76.0,33
0.0,4,0.0625,0.015625,0.09375,0.029231698334171417,-76.0,34
0.0,4,0.0625,0.015625,0.09375,0.029231698334171417,-76.0,35
0.0,12,0.0703125,0.015625,0.109375,0.026684767619686453,-76.0,36
0.0,12,0.0703125,0.015625,0.109375,0.026684767619686453,-76.0,37
0.0,12,0.0546875,0.0,0.09375,0.026684767619686453,-76.0,38
0.0,12,0.0625,0.015625,0.109375,0.029231698334171417,-76.0,39
0.0,12,0.0625,0.015625,0.109375,0.029231698334171417,-76.0,40
0.0,12,0.0625,0.015625,0.109375,0.029231698334171417,-76.0,41
0.0,12,0.0625,0.015625,0.109375,0.029231698334171417,-76.0,42
0.0,12,0.1015625,0.046875,0.15625,0.03221176270013797,-80.0,43
0.0,12,0.0703125,0.015625,0.125,0.03221176270013797,-84.0,44
0.0,12,0.0859375,0.015625,0.140625,0.034646184103255394,-84.0,45
0.0,12,0.1484375,0.09375,0.203125,0.030922765851661243,-88.0,46
0.0,12,0.1015625,0.03125,0.15625,0.0380065612482459,-92.0,47
0.0,12,0.1015625,0.03125,0.15625,0.0380065612482459,-92.0,48
0.0,12,0.1484375,0.078125,0.21875,0.04109305686994662,-96.0,49
0.0,12,0.1328125,0.078125,0.1875,0.03221176270013797,-96.0,50
0.0,12,0.1484375,0.078125,0.21875,0.04109305686994662,-96.0,51
0.0,12,0.203125,0.125,0.265625,0.048159484398195125,-100.0,52
0.0,12,0.203125,0.125,0.265625,0.048159484398195125,-100.0,53
0.0,12,0.203125,0.125,0.265625,0.048159484398195125,-100.0,54
0.0,12,0.25,0.171875,0.3125,0.048159484398195125,-104.0,55
0.0,12,0.265625,0.171875,0.34375,0.05881036349289695,-104.0,56
0.0,60,0.28125,0.171875,0.390625,0.05450117066785508,-104.0,57
0.0,60,0.28125,0.171875,0.390625,0.05450117066785508,-104.0,58
0.0,60,0.28125,0.171875,0.390625,0.05450117066785508,-104.0,59
0.0,60,0.2734375,0.171875,0.359375,0.043963393271182635,-104.0,60
0.0,60,0.2734375,0.171875,0.359375,0.043963393271182635,-104.0,61
0.0,60,0.2734375,0.171875,0.359375,0.043963393271182635,-104.0,62
