length,$p_{stable}$,Energy,Consensus
210,$1/\log^{2}(n)$,-0.984375,0.71875
1950,$1/\log(n)$,-0.96875,0.14593349358974358
255,$0$,-0.03125,0.09019607843137256
255,$1/n^2$,-0.03125,0.09019607843137256
255,$1/n^{3/2}$,-0.03125,0.09019607843137256
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.953125,0.0703125
1320,$1/{n^{1/3}}$,-0.9375,0.3125
1,$1/\log^{2}(n)$,-1.0,1.0
120,$1/\log(n)$,-0.953125,0.37890625
255,$0$,0.015625,0.043137254901960784
255,$1/n^2$,0.015625,0.043137254901960784
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
252,$1/\sqrt{n}$,-0.96875,0.61328125
510,$1/{n^{1/3}}$,-0.9375,0.25
3002,$1/\log^{2}(n)$,-0.984375,0.1015625
408,$1/\log(n)$,-0.953125,0.45703125
255,$0$,-0.046875,0.07450980392156863
255,$1/n^2$,-0.046875,0.07450980392156863
255,$1/n^{3/2}$,-0.046875,0.07450980392156863
1,$1/n$,-1.0,1.0
672,$1/\sqrt{n}$,-0.984375,0.07291666666666667
1320,$1/{n^{1/3}}$,-0.9375,0.40625
1780,$1/\log^{2}(n)$,-0.984375,0.55859375
120,$1/\log(n)$,-0.96875,0.8125
255,$0$,0.09375,0.0039215686274509795
255,$1/n^2$,0.09375,0.0039215686274509795
255,$1/n^{3/2}$,0.09375,0.0039215686274509795
255,$1/n$,0.09375,0.0039215686274509795
3002,$1/\sqrt{n}$,-0.96875,0.21875
180,$1/{n^{1/3}}$,-0.9375,0.07994791666666666
1,$1/\log^{2}(n)$,-1.0,1.0
780,$1/\log(n)$,-0.96875,0.5390625
255,$0$,0.015625,0.05882352941176471
255,$1/n^2$,0.015625,0.05882352941176471
255,$1/n^{3/2}$,0.015625,0.05882352941176471
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.953125,0.1484375
2380,$1/{n^{1/3}}$,-0.921875,0.1953125
372,$1/\log^{2}(n)$,-0.984375,0.39453125
3002,$1/\log(n)$,-0.9375,0.3125
255,$0$,0.03125,0.011764705882352941
255,$1/n^2$,0.03125,0.011764705882352941
255,$1/n^{3/2}$,0.03125,0.011764705882352941
255,$1/n$,0.03125,0.011764705882352941
3002,$1/\sqrt{n}$,-0.96875,0.015625
360,$1/{n^{1/3}}$,-0.90625,0.041319444444444436
1748,$1/\log^{2}(n)$,-0.984375,0.48828125
3002,$1/\log(n)$,-0.9375,0.171875
255,$0$,0.015625,0.035294117647058816
255,$1/n^2$,0.015625,0.035294117647058816
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.953125,0.140625
3002,$1/{n^{1/3}}$,-0.90625,0.125
1221,$1/\log^{2}(n)$,-0.984375,0.6015625
90,$1/\log(n)$,-0.96875,0.19921875
255,$0$,-0.015625,0.027450980392156862
255,$1/n^2$,-0.015625,0.027450980392156862
255,$1/n^{3/2}$,-0.015625,0.027450980392156862
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.96875,0.0859375
140,$1/{n^{1/3}}$,-0.96875,0.33984375
1,$1/\log^{2}(n)$,-1.0,1.0
1872,$1/\log(n)$,-0.921875,0.16094918536324787
255,$0$,0.0625,0.0196078431372549
255,$1/n^2$,0.0625,0.0196078431372549
255,$1/n^{3/2}$,0.0625,0.0196078431372549
255,$1/n$,0.0625,0.0196078431372549
352,$1/\sqrt{n}$,-0.984375,0.59765625
3002,$1/{n^{1/3}}$,-0.921875,0.2734375
1,$1/\log^{2}(n)$,-1.0,1.0
1020,$1/\log(n)$,-0.9375,0.3046875
255,$0$,0.03125,0.07450980392156863
255,$1/n^2$,0.03125,0.07450980392156863
255,$1/n^{3/2}$,0.03125,0.07450980392156863
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.96875,0.046875
264,$1/{n^{1/3}}$,-0.9375,0.14453125
114,$1/\log^{2}(n)$,-0.984375,0.58984375
3002,$1/\log(n)$,-0.953125,0.0859375
255,$0$,-0.015625,0.0039215686274509795
255,$1/n^2$,-0.015625,0.0039215686274509795
255,$1/n^{3/2}$,-0.015625,0.0039215686274509795
1,$1/n$,-1.0,1.0
360,$1/\sqrt{n}$,-0.96875,0.3059027777777778
3002,$1/{n^{1/3}}$,-0.953125,0.3828125
1,$1/\log^{2}(n)$,-1.0,1.0
1680,$1/\log(n)$,-0.953125,0.17591145833333333
255,$0$,-0.03125,0.09803921568627452
255,$1/n^2$,-0.03125,0.09803921568627452
1,$1/n^{3/2}$,-1.0,1.0
255,$1/n$,-0.03125,0.09803921568627452
168,$1/\sqrt{n}$,-0.984375,0.4375
1680,$1/{n^{1/3}}$,-0.921875,0.042215401785714285
3002,$1/\log^{2}(n)$,-0.984375,0.1640625
2142,$1/\log(n)$,-0.953125,0.31640625
255,$0$,0.0,0.05098039215686274
255,$1/n^2$,0.0,0.05098039215686274
255,$1/n^{3/2}$,0.0,0.05098039215686274
255,$1/n$,0.0,0.05098039215686274
273,$1/\sqrt{n}$,-0.984375,0.3125
1320,$1/{n^{1/3}}$,-0.921875,0.22265625
728,$1/\log^{2}(n)$,-0.984375,0.35546875
60,$1/\log(n)$,-0.953125,0.234375
255,$0$,0.09375,0.043137254901960784
255,$1/n^2$,0.09375,0.043137254901960784
255,$1/n^{3/2}$,0.09375,0.043137254901960784
1,$1/n$,-1.0,1.0
12,$1/\sqrt{n}$,-0.984375,0.20703125
3002,$1/{n^{1/3}}$,-0.90625,0.2734375
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.953125,0.1953125
255,$0$,0.109375,0.035294117647058816
255,$1/n^2$,0.109375,0.035294117647058816
255,$1/n^{3/2}$,0.109375,0.035294117647058816
255,$1/n$,0.109375,0.035294117647058816
297,$1/\sqrt{n}$,-0.984375,0.546875
3002,$1/{n^{1/3}}$,-0.9375,0.1015625
1661,$1/\log^{2}(n)$,-0.984375,0.3419908940397351
1008,$1/\log(n)$,-0.96875,0.049990699404761904
255,$0$,0.015625,0.0196078431372549
255,$1/n^2$,0.015625,0.0196078431372549
255,$1/n^{3/2}$,0.015625,0.0196078431372549
255,$1/n$,0.015625,0.0196078431372549
345,$1/\sqrt{n}$,-0.984375,0.6953125
3002,$1/{n^{1/3}}$,-0.953125,0.2265625
1,$1/\log^{2}(n)$,-1.0,1.0
3002,$1/\log(n)$,-0.96875,0.2734375
255,$0$,0.078125,0.011764705882352941
255,$1/n^2$,0.078125,0.011764705882352941
255,$1/n^{3/2}$,0.078125,0.011764705882352941
3002,$1/n$,-0.984375,0.125
1890,$1/\sqrt{n}$,-0.96875,0.40234375
396,$1/{n^{1/3}}$,-0.9375,0.049400252525252535
1,$1/\log^{2}(n)$,-1.0,1.0
209,$1/\log(n)$,-0.984375,0.828125
255,$0$,0.03125,0.011764705882352941
255,$1/n^2$,0.03125,0.011764705882352941
255,$1/n^{3/2}$,0.03125,0.011764705882352941
105,$1/n$,-0.984375,0.5703125
3002,$1/\sqrt{n}$,-0.953125,0.0703125
252,$1/{n^{1/3}}$,-0.953125,0.27734375
3002,$1/\log^{2}(n)$,-0.984375,0.59375
228,$1/\log(n)$,-0.953125,0.1640625
255,$0$,0.0,0.043137254901960784
255,$1/n^2$,0.0,0.043137254901960784
255,$1/n^{3/2}$,0.0,0.043137254901960784
255,$1/n$,0.0,0.043137254901960784
3002,$1/\sqrt{n}$,-0.984375,0.1875
3002,$1/{n^{1/3}}$,-0.9375,0.1875
3002,$1/\log^{2}(n)$,-0.984375,0.1875
3002,$1/\log(n)$,-0.9375,0.2890625
255,$0$,0.0,0.09019607843137256
255,$1/n^2$,0.0,0.09019607843137256
255,$1/n^{3/2}$,0.0,0.09019607843137256
3002,$1/n$,-0.984375,0.28125
630,$1/\sqrt{n}$,-0.96875,0.19140625
20,$1/{n^{1/3}}$,-0.953125,0.62890625
1386,$1/\log^{2}(n)$,-0.984375,0.3366082702020202
840,$1/\log(n)$,-0.953125,0.33984375
255,$0$,-0.015625,0.06666666666666668
255,$1/n^2$,-0.015625,0.06666666666666668
255,$1/n^{3/2}$,-0.015625,0.06666666666666668
255,$1/n$,-0.015625,0.06666666666666668
3002,$1/\sqrt{n}$,-0.96875,0.078125
720,$1/{n^{1/3}}$,-0.921875,0.08151041666666667
1,$1/\log^{2}(n)$,-1.0,1.0
2280,$1/\log(n)$,-0.96875,0.0966968201754386
255,$0$,0.0625,0.027450980392156862
255,$1/n^2$,0.0625,0.027450980392156862
255,$1/n^{3/2}$,0.0625,0.027450980392156862
1,$1/n$,-1.0,1.0
3002,$1/\sqrt{n}$,-0.96875,0.234375
3002,$1/{n^{1/3}}$,-0.9375,0.125
1561,$1/\log^{2}(n)$,-0.984375,0.4407230941704036
210,$1/\log(n)$,-0.953125,0.16015625
255,$0$,-0.03125,0.027450980392156862
255,$1/n^2$,-0.03125,0.027450980392156862
1,$1/n^{3/2}$,-1.0,1.0
255,$1/n$,-0.03125,0.027450980392156862
1,$1/\sqrt{n}$,-1.0,1.0
3002,$1/{n^{1/3}}$,-0.9375,0.40625
1,$1/\log^{2}(n)$,-1.0,1.0
21,$1/\log(n)$,-0.984375,0.6640625
255,$0$,0.03125,0.011764705882352941
255,$1/n^2$,0.03125,0.011764705882352941
255,$1/n^{3/2}$,0.03125,0.011764705882352941
1,$1/n$,-1.0,1.0
432,$1/\sqrt{n}$,-0.96875,0.11530671296296295
3002,$1/{n^{1/3}}$,-0.953125,0.1015625
3002,$1/\log^{2}(n)$,-0.984375,0.328125
3002,$1/\log(n)$,-0.953125,0.09375
255,$0$,-0.0625,0.043137254901960784
255,$1/n^2$,-0.0625,0.043137254901960784
255,$1/n^{3/2}$,-0.0625,0.043137254901960784
3002,$1/n$,-0.984375,0.375
