init_magnet,length,Magnetization_mean,Magnetization_min,Magnetization_max,Magnetization_std,SpinGlass,unstables
0.0,1,0.03125,0.03125,0.03125,0.0,-32.0,0
0.0,1,0.03125,0.03125,0.03125,0.0,-32.0,1
0.0,2,0.046875,0.03125,0.0625,0.015625,-32.0,2
0.0,2,0.046875,0.03125,0.0625,0.015625,-32.0,3
0.0,2,0.046875,0.03125,0.0625,0.015625,-32.0,4
0.0,2,0.03125,0.03125,0.03125,0.0,-32.0,5
0.0,2,0.0625,0.0625,0.0625,0.0,-32.0,6
0.0,2,0.0625,0.0625,0.0625,0.0,-32.0,7
0.0,2,0.15625,0.15625,0.15625,0.0,-36.0,8
0.0,2,0.15625,0.15625,0.15625,0.0,-36.0,9
0.0,2,0.15625,0.15625,0.15625,0.0,-36.0,10
0.0,2,0.0625,0.0625,0.0625,0.0,-36.0,11
0.0,2,0.078125,0.0625,0.09375,0.015625,-36.0,12
0.0,2,0.0,0.0,0.0,0.0,-40.0,13
0.0,6,0.03125,0.0,0.0625,0.02551551815399144,-40.0,14
0.0,6,0.15625,0.125,0.21875,0.04419417382415922,-40.0,15
0.0,6,0.15625,0.125,0.21875,0.04419417382415922,-40.0,16
0.0,30,0.125,0.03125,0.21875,0.05103103630798288,-40.0,17
0.0,30,0.125,0.03125,0.21875,0.05103103630798288,-40.0,18
0.0,30,0.109375,0.0,0.21875,0.053369535239372906,-40.0,19
0.0,30,0.109375,0.0,0.21875,0.053369535239372906,-40.0,20
0.0,30,0.078125,0.0,0.15625,0.046875,-40.0,21
0.0,30,0.06875,0.0,0.15625,0.0459279326771846,-40.0,22
0.0,30,0.203125,0.09375,0.3125,0.053369535239372906,-44.0,23
0.0,60,0.3125,0.15625,0.4375,0.0637887953849786,-44.0,24
0.0,60,0.40625,0.25,0.53125,0.0637887953849786,-48.0,25
0.0,60,0.40625,0.25,0.53125,0.0637887953849786,-48.0,26
0.0,60,0.40625,0.25,0.53125,0.0637887953849786,-48.0,27
0.0,60,0.421875,0.28125,0.5625,0.061845531703322486,-48.0,28
0.0,30,0.609375,0.5,0.71875,0.053369535239372906,-52.0,29
0.0,30,0.609375,0.5,0.71875,0.053369535239372906,-52.0,30
0.0,30,0.625,0.5,0.75,0.05983919423477113,-52.0,31
0.0,30,0.625,0.5,0.75,0.05983919423477113,-52.0,32
0.0,6,0.75,0.6875,0.8125,0.040343576522993925,-56.0,33
0.0,6,0.75,0.6875,0.8125,0.040343576522993925,-56.0,34
0.0,6,0.75,0.6875,0.8125,0.040343576522993925,-56.0,35
0.0,6,0.75,0.6875,0.8125,0.040343576522993925,-56.0,36
0.0,6,0.75,0.6875,0.8125,0.040343576522993925,-56.0,37
0.0,6,0.546875,0.4375,0.65625,0.06442352540027595,-56.0,38
0.0,6,0.546875,0.4375,0.65625,0.06442352540027595,-56.0,39
0.0,6,0.546875,0.4375,0.65625,0.06442352540027595,-56.0,40
0.0,6,0.265625,0.1875,0.34375,0.053369535239372906,-56.0,41
0.0,14,0.25,0.15625,0.34375,0.0625,-56.0,42
0.0,70,0.203125,0.03125,0.375,0.078125,-56.0,43
0.0,70,0.21875,0.0625,0.375,0.07654655446197431,-56.0,44
0.0,70,0.21875,0.0625,0.375,0.07654655446197431,-56.0,45
0.0,70,0.21875,0.0625,0.375,0.07654655446197431,-56.0,46
0.0,70,0.21875,0.0625,0.375,0.07654655446197431,-56.0,47
0.0,210,0.28125,0.0625,0.5,0.0919975090242484,-56.0,48
0.0,90,0.25,0.03125,0.5,0.10520317644127165,-56.0,49
0.0,390,0.1951923076923077,0.0,0.5,0.12363405552038705,-56.0,50
0.0,546,0.2242445054945055,0.0,0.5625,0.1332225803765689,-56.0,51
0.0,78,0.640625,0.375,0.90625,0.12853086124221944,-60.0,52
0.0,91,0.625,0.34375,0.90625,0.13258252147247765,-60.0,53
0.0,1,1.0,1.0,1.0,0.0,-64.0,54
0.2,1,0.3125,0.3125,0.3125,0.0,-36.0,0
0.2,2,0.296875,0.28125,0.3125,0.015625,-36.0,1
0.2,2,0.3125,0.3125,0.3125,0.0,-36.0,2
0.2,2,0.3125,0.3125,0.3125,0.0,-36.0,3
0.2,2,0.3125,0.3125,0.3125,0.0,-36.0,4
0.2,2,0.296875,0.28125,0.3125,0.015625,-36.0,5
0.2,2,0.171875,0.15625,0.1875,0.015625,-32.0,6
0.2,2,0.171875,0.15625,0.1875,0.015625,-32.0,7
0.2,2,0.078125,0.0625,0.09375,0.015625,-36.0,8
0.2,2,0.078125,0.0625,0.09375,0.015625,-36.0,9
0.2,6,0.109375,0.0625,0.15625,0.029919597117385566,-36.0,10
0.2,6,0.203125,0.15625,0.25,0.029919597117385566,-36.0,11
0.2,6,0.203125,0.15625,0.25,0.029919597117385566,-36.0,12
0.2,6,0.203125,0.15625,0.25,0.029919597117385566,-36.0,13
0.2,6,0.171875,0.15625,0.1875,0.015625,-36.0,14
0.2,6,0.171875,0.15625,0.1875,0.015625,-36.0,15
0.2,6,0.171875,0.15625,0.1875,0.015625,-36.0,16
0.2,6,0.171875,0.15625,0.1875,0.015625,-36.0,17
