length,p_a,SpinGlass,Magnetization
73.0,$0$,-1.8904109589041096,0.01223744292237443
77.0,$0$,-1.896103896103896,0.0116017316017316
73.0,$0$,-1.5616438356164384,0.006575342465753424
77.0,$0$,-1.6883116883116882,0.002077922077922078
73.0,$0$,-1.7808219178082192,0.004018264840182649
77.0,$0$,-1.7922077922077921,0.011082251082251082
77.0,$0$,-1.6883116883116882,0.008311688311688312
73.0,$0$,-2.0,0.013333333333333334
77.0,$0$,-1.7402597402597402,0.004155844155844156
1.0,$0$,-150.0,1.0
77.0,$0$,-1.844155844155844,0.011948051948051949
73.0,$0$,-2.0,0.013333333333333334
77.0,$0$,-1.896103896103896,0.012640692640692642
77.0,$0$,-1.7402597402597402,0.006753246753246753
73.0,$0$,-1.8904109589041096,0.006210045662100456
1.0,$0$,-150.0,1.0
77.0,$0$,-1.844155844155844,0.007965367965367965
77.0,$0$,-1.896103896103896,0.012467532467532468
73.0,$0$,-1.9452054794520548,0.0027397260273972603
77.0,$0$,-1.6363636363636365,0.0038095238095238095
77.0,$0$,-1.844155844155844,0.008831168831168832
77.0,$0$,-1.6363636363636365,0.005541125541125541
77.0,$0$,-1.7402597402597402,0.01038961038961039
77.0,$0$,-1.7922077922077921,0.010562770562770564
73.0,$0$,-1.9452054794520548,0.0007305936073059361
73.0,$0$,-1.726027397260274,0.005479452054794521
73.0,$0$,-1.8904109589041096,0.001643835616438356
77.0,$0$,-1.844155844155844,0.005194805194805195
73.0,$0$,-2.0,0.012785388127853882
77.0,$0$,-1.896103896103896,0.012467532467532468
1.0,$0$,-150.0,1.0
77.0,$0$,-1.844155844155844,0.010735930735930736
77.0,$0$,-1.896103896103896,0.0025974025974025974
77.0,$0$,-1.844155844155844,0.0058874458874458874
77.0,$0$,-1.7922077922077921,0.010909090909090908
77.0,$0$,-1.844155844155844,0.011774891774891775
77.0,$0$,-1.896103896103896,0.012467532467532468
73.0,$0$,-1.8904109589041096,0.010593607305936073
77.0,$0$,-1.6883116883116882,0.0015584415584415584
77.0,$0$,-1.6363636363636365,0.0032900432900432905
77.0,$0$,-1.6883116883116882,0.003463203463203463
77.0,$0$,-1.7922077922077921,0.011428571428571429
77.0,$0$,-1.896103896103896,0.0003463203463203463
77.0,$0$,-1.7922077922077921,0.010909090909090908
73.0,$0$,-2.0,0.010410958904109589
77.0,$0$,-1.6363636363636365,0.008831168831168832
77.0,$0$,-1.896103896103896,0.008311688311688312
77.0,$0$,-1.896103896103896,0.012813852813852814
77.0,$0$,-1.896103896103896,0.012640692640692642
77.0,$0$,-1.896103896103896,0.012640692640692642
77.0,$0$,-1.7922077922077921,0.011774891774891775
77.0,$0$,-1.7402597402597402,0.009870129870129871
77.0,$0$,-1.844155844155844,0.011428571428571429
1.0,$0$,-150.0,1.0
73.0,$0$,-1.9452054794520548,0.0025570776255707762
73.0,$0$,-2.0,0.012602739726027398
77.0,$0$,-1.844155844155844,0.008311688311688312
77.0,$0$,-1.844155844155844,0.010735930735930736
73.0,$0$,-1.726027397260274,0.0025570776255707762
77.0,$0$,-1.7922077922077921,0.0012121212121212121
77.0,$0$,-1.844155844155844,0.0116017316017316
77.0,$0$,-1.6883116883116882,0.003463203463203463
77.0,$0$,-1.6883116883116882,0.005367965367965368
73.0,$0$,-1.9452054794520548,0.004200913242009132
73.0,$0$,-1.6712328767123288,0.0036529680365296802
77.0,$0$,-1.896103896103896,0.00813852813852814
73.0,$0$,-1.9452054794520548,0.004931506849315068
77.0,$0$,-1.896103896103896,0.012640692640692642
77.0,$0$,-1.896103896103896,0.006753246753246753
73.0,$0$,-2.0,0.012785388127853882
77.0,$0$,-1.896103896103896,0.00813852813852814
73.0,$0$,-1.8356164383561644,0.0052968036529680365
77.0,$0$,-1.844155844155844,0.010043290043290043
77.0,$0$,-1.844155844155844,0.0027705627705627706
77.0,$0$,-1.896103896103896,0.012640692640692642
1.0,$0$,-150.0,1.0
77.0,$0$,-1.844155844155844,0.012121212121212121
